,Accession,Segment,Nuc_Completeness,Species
82,MH598462.1,L,partial,Orthohantavirus dobravaense
83,MH598463.1,L,partial,Orthohantavirus dobravaense
84,MH598464.1,M,partial,Orthohantavirus dobravaense
85,MH598465.1,S,partial,Orthohantavirus dobravaense
86,MK605641.1,L,partial,Orthohantavirus dobravaense
87,MK605642.1,L,partial,Orthohantavirus dobravaense
88,MK605643.1,L,partial,Orthohantavirus dobravaense
89,MK605644.1,L,partial,Orthohantavirus dobravaense
90,MK605645.1,L,partial,Orthohantavirus dobravaense
91,MK605646.1,L,partial,Orthohantavirus dobravaense
92,MK605647.1,L,partial,Orthohantavirus dobravaense
93,MK605648.1,L,partial,Orthohantavirus dobravaense
94,MK605649.1,L,partial,Orthohantavirus dobravaense
95,MK605650.1,L,partial,Orthohantavirus dobravaense
96,MK605651.1,L,partial,Orthohantavirus dobravaense
97,MK605652.1,L,partial,Orthohantavirus dobravaense
98,MK605653.1,L,partial,Orthohantavirus dobravaense
99,MK605654.1,L,partial,Orthohantavirus dobravaense
100,MK605655.1,L,partial,Orthohantavirus dobravaense
101,MK605656.1,L,partial,Orthohantavirus dobravaense
102,MK605657.1,L,partial,Orthohantavirus dobravaense
103,MK605658.1,L,partial,Orthohantavirus dobravaense
104,MK605659.1,L,partial,Orthohantavirus dobravaense
105,MK605660.1,L,partial,Orthohantavirus dobravaense
106,MK605661.1,L,partial,Orthohantavirus dobravaense
107,MK605662.1,L,partial,Orthohantavirus dobravaense
108,MK605663.1,L,partial,Orthohantavirus dobravaense
109,MK605664.1,L,partial,Orthohantavirus dobravaense
110,MK605665.1,L,partial,Orthohantavirus dobravaense
111,MK605666.1,M,partial,Orthohantavirus dobravaense
112,MK605667.1,M,partial,Orthohantavirus dobravaense
113,MK605668.1,M,partial,Orthohantavirus dobravaense
114,MK605669.1,M,partial,Orthohantavirus dobravaense
115,MK605670.1,M,partial,Orthohantavirus dobravaense
116,MK605671.1,M,partial,Orthohantavirus dobravaense
117,MK605672.1,S,partial,Orthohantavirus dobravaense
118,MK605673.1,S,partial,Orthohantavirus dobravaense
119,MK605674.1,S,partial,Orthohantavirus dobravaense
120,MK605675.1,S,partial,Orthohantavirus dobravaense
121,MK605676.1,S,partial,Orthohantavirus dobravaense
122,MK605677.1,S,partial,Orthohantavirus dobravaense
123,MK605678.1,S,partial,Orthohantavirus dobravaense
124,MK605679.1,L,partial,Orthohantavirus dobravaense
125,MK605680.1,L,partial,Orthohantavirus dobravaense
126,MK605681.1,L,partial,Orthohantavirus dobravaense
127,MK770453.1,L,partial,Orthohantavirus dobravaense
128,MK770454.1,L,partial,Orthohantavirus dobravaense
129,MK770455.1,L,partial,Orthohantavirus dobravaense
130,MK770456.1,L,partial,Orthohantavirus dobravaense
131,MK770457.1,L,partial,Orthohantavirus dobravaense
132,MK770458.1,L,partial,Orthohantavirus dobravaense
133,MH251334.1,S,partial,Orthohantavirus dobravaense
134,MH251335.1,M,partial,Orthohantavirus dobravaense
135,MH251336.1,L,partial,Orthohantavirus dobravaense
136,MH427107.1,S,partial,Orthohantavirus dobravaense
137,MH427108.1,S,partial,Orthohantavirus dobravaense
138,MH427109.1,S,partial,Orthohantavirus dobravaense
139,MH427110.1,S,partial,Orthohantavirus dobravaense
140,MH427111.1,S,partial,Orthohantavirus dobravaense
141,MH427112.1,S,partial,Orthohantavirus dobravaense
142,MH427113.1,S,partial,Orthohantavirus dobravaense
143,MH427114.1,S,partial,Orthohantavirus dobravaense
144,MH427115.1,S,partial,Orthohantavirus dobravaense
145,MH427116.1,S,partial,Orthohantavirus dobravaense
146,MH427117.1,S,partial,Orthohantavirus dobravaense
147,MH427118.1,S,partial,Orthohantavirus dobravaense
148,MH427119.1,S,partial,Orthohantavirus dobravaense
149,MH427120.1,S,partial,Orthohantavirus dobravaense
150,MH427121.1,S,partial,Orthohantavirus dobravaense
151,MH427122.1,S,partial,Orthohantavirus dobravaense
152,MH427123.1,S,partial,Orthohantavirus dobravaense
153,MH427124.1,S,partial,Orthohantavirus dobravaense
154,MH427125.1,S,partial,Orthohantavirus dobravaense
155,MH427126.1,S,partial,Orthohantavirus dobravaense
156,MH427127.1,S,partial,Orthohantavirus dobravaense
157,MH427128.1,S,partial,Orthohantavirus dobravaense
158,MH427129.1,S,partial,Orthohantavirus dobravaense
159,MH427130.1,S,partial,Orthohantavirus dobravaense
160,MH427131.1,S,partial,Orthohantavirus dobravaense
161,MH427132.1,S,partial,Orthohantavirus dobravaense
162,MH427133.1,S,partial,Orthohantavirus dobravaense
163,MH427134.1,M,partial,Orthohantavirus dobravaense
164,MH427135.1,M,partial,Orthohantavirus dobravaense
165,MH427136.1,M,partial,Orthohantavirus dobravaense
166,MH427137.1,M,partial,Orthohantavirus dobravaense
167,MH427138.1,M,partial,Orthohantavirus dobravaense
168,MH427139.1,M,partial,Orthohantavirus dobravaense
169,MH427140.1,M,partial,Orthohantavirus dobravaense
170,KU256217.1,L,partial,Orthohantavirus dobravaense
171,KU561220.1,M,complete,Orthohantavirus dobravaense
172,KU561221.1,S,partial,Orthohantavirus dobravaense
173,KY649161.1,L,partial,Orthohantavirus dobravaense
174,KY649162.1,L,partial,Orthohantavirus dobravaense
175,KY649163.1,L,partial,Orthohantavirus dobravaense
176,KY649164.1,L,partial,Orthohantavirus dobravaense
177,KY649165.1,L,partial,Orthohantavirus dobravaense
178,KY649166.1,L,partial,Orthohantavirus dobravaense
179,KY649167.1,L,partial,Orthohantavirus dobravaense
180,KY649168.1,L,partial,Orthohantavirus dobravaense
181,KY649169.1,L,partial,Orthohantavirus dobravaense
182,KY649170.1,L,partial,Orthohantavirus dobravaense
183,KY649171.1,L,partial,Orthohantavirus dobravaense
184,KY649172.1,L,partial,Orthohantavirus dobravaense
185,KY649173.1,L,partial,Orthohantavirus dobravaense
186,KY649174.1,L,partial,Orthohantavirus dobravaense
187,KY649175.1,L,partial,Orthohantavirus dobravaense
188,KY649176.1,L,partial,Orthohantavirus dobravaense
189,KY649177.1,L,partial,Orthohantavirus dobravaense
190,KY649178.1,L,partial,Orthohantavirus dobravaense
191,KY649179.1,S,partial,Orthohantavirus dobravaense
192,KY649180.1,S,partial,Orthohantavirus dobravaense
193,KY649181.1,S,partial,Orthohantavirus dobravaense
194,KY649182.1,S,partial,Orthohantavirus dobravaense
195,KY649183.1,S,partial,Orthohantavirus dobravaense
196,KY649184.1,S,partial,Orthohantavirus dobravaense
197,KY649185.1,S,partial,Orthohantavirus dobravaense
198,KY649186.1,S,partial,Orthohantavirus dobravaense
199,KY649187.1,S,partial,Orthohantavirus dobravaense
200,KY649188.1,S,partial,Orthohantavirus dobravaense
201,KY649189.1,S,partial,Orthohantavirus dobravaense
202,KU529944.1,M,partial,Orthohantavirus dobravaense
203,KU529945.1,L,partial,Orthohantavirus dobravaense
204,KU529946.1,S,partial,Orthohantavirus dobravaense
205,KT971005.1,S,partial,Orthohantavirus dobravaense
206,KT971006.1,S,partial,Orthohantavirus dobravaense
207,KT971007.1,S,partial,Orthohantavirus dobravaense
208,KT971008.1,S,partial,Orthohantavirus dobravaense
209,KT971009.1,S,partial,Orthohantavirus dobravaense
210,KT971010.1,S,partial,Orthohantavirus dobravaense
211,KT971011.1,S,partial,Orthohantavirus dobravaense
212,KT971012.1,S,partial,Orthohantavirus dobravaense
213,KT971013.1,S,partial,Orthohantavirus dobravaense
214,KT971014.1,S,partial,Orthohantavirus dobravaense
215,KT315623.1,M,partial,Orthohantavirus dobravaense
216,KT315624.1,M,partial,Orthohantavirus dobravaense
217,KT315625.1,M,partial,Orthohantavirus dobravaense
218,KT315626.1,M,partial,Orthohantavirus dobravaense
219,KT315627.1,L,partial,Orthohantavirus dobravaense
220,KT315628.1,L,partial,Orthohantavirus dobravaense
221,KT315629.1,L,partial,Orthohantavirus dobravaense
222,KT315630.1,L,partial,Orthohantavirus dobravaense
223,KT315631.1,L,partial,Orthohantavirus dobravaense
224,KT315632.1,L,partial,Orthohantavirus dobravaense
225,KT315633.1,L,partial,Orthohantavirus dobravaense
226,KT315634.1,L,partial,Orthohantavirus dobravaense
227,KT315635.1,S,partial,Orthohantavirus dobravaense
228,KT315636.1,S,partial,Orthohantavirus dobravaense
229,KT315637.1,S,partial,Orthohantavirus dobravaense
230,KT315638.1,S,partial,Orthohantavirus dobravaense
231,KT315639.1,S,partial,Orthohantavirus dobravaense
232,KT315640.1,S,partial,Orthohantavirus dobravaense
233,KT315641.1,S,partial,Orthohantavirus dobravaense
234,KT315642.1,S,partial,Orthohantavirus dobravaense
235,KP878308.1,L,partial,Orthohantavirus dobravaense
236,KP878309.1,L,partial,Orthohantavirus dobravaense
237,KP878310.1,L,partial,Orthohantavirus dobravaense
238,KP878311.1,S,complete,Orthohantavirus dobravaense
239,KP878312.1,S,complete,Orthohantavirus dobravaense
240,KP878313.1,S,complete,Orthohantavirus dobravaense
241,KT885041.1,L,complete,Orthohantavirus dobravaense
242,KT885042.1,M,complete,Orthohantavirus dobravaense
243,KT885043.1,S,complete,Orthohantavirus dobravaense
244,KM192207.1,L,partial,Orthohantavirus dobravaense
245,KM192208.1,L,partial,Orthohantavirus dobravaense
246,KM192209.1,L,partial,Orthohantavirus dobravaense
247,KF776557.1,L,partial,Orthohantavirus dobravaense
248,KF776564.1,L,partial,Orthohantavirus dobravaense
249,KF776578.1,L,partial,Orthohantavirus dobravaense
250,KF776581.1,L,partial,Orthohantavirus dobravaense
251,KF776582.1,L,partial,Orthohantavirus dobravaense
252,KF776583.1,L,partial,Orthohantavirus dobravaense
253,KF776585.1,L,partial,Orthohantavirus dobravaense
254,KF776586.1,L,partial,Orthohantavirus dobravaense
255,KF776590.1,L,partial,Orthohantavirus dobravaense
256,KF776596.1,L,partial,Orthohantavirus dobravaense
257,KF776597.1,L,partial,Orthohantavirus dobravaense
258,KF776600.1,L,partial,Orthohantavirus dobravaense
259,KF776609.1,L,partial,Orthohantavirus dobravaense
260,KF776610.1,L,partial,Orthohantavirus dobravaense
261,KF776613.1,L,partial,Orthohantavirus dobravaense
262,KF776614.1,L,partial,Orthohantavirus dobravaense
263,KF776615.1,L,partial,Orthohantavirus dobravaense
264,KF776618.1,L,partial,Orthohantavirus dobravaense
265,KF776619.1,L,partial,Orthohantavirus dobravaense
266,KF776620.1,L,partial,Orthohantavirus dobravaense
267,KF776623.1,L,partial,Orthohantavirus dobravaense
268,KF776624.1,L,partial,Orthohantavirus dobravaense
269,KF776626.1,L,partial,Orthohantavirus dobravaense
270,KF776627.1,L,partial,Orthohantavirus dobravaense
271,KF776628.1,L,partial,Orthohantavirus dobravaense
272,KF776629.1,L,partial,Orthohantavirus dobravaense
273,KF776630.1,L,partial,Orthohantavirus dobravaense
274,KF776631.1,L,partial,Orthohantavirus dobravaense
275,KF776632.1,L,partial,Orthohantavirus dobravaense
276,KF776633.1,L,partial,Orthohantavirus dobravaense
277,KF776634.1,L,partial,Orthohantavirus dobravaense
278,KF776635.1,L,partial,Orthohantavirus dobravaense
279,KF776636.1,L,partial,Orthohantavirus dobravaense
280,KF776637.1,L,partial,Orthohantavirus dobravaense
281,KF776638.1,L,partial,Orthohantavirus dobravaense
282,KF776639.1,L,partial,Orthohantavirus dobravaense
283,KF776640.1,L,partial,Orthohantavirus dobravaense
284,KF776641.1,L,partial,Orthohantavirus dobravaense
285,KF776642.1,L,partial,Orthohantavirus dobravaense
286,KF776643.1,L,partial,Orthohantavirus dobravaense
287,KF776644.1,L,partial,Orthohantavirus dobravaense
288,KF776645.1,L,partial,Orthohantavirus dobravaense
289,KF776646.1,L,partial,Orthohantavirus dobravaense
290,KF776647.1,L,partial,Orthohantavirus dobravaense
291,KF776648.1,L,partial,Orthohantavirus dobravaense
292,KF776649.1,L,partial,Orthohantavirus dobravaense
293,KF776653.1,L,partial,Orthohantavirus dobravaense
294,KF776685.1,L,partial,Orthohantavirus dobravaense
295,KF776686.1,L,partial,Orthohantavirus dobravaense
296,KF776687.1,L,partial,Orthohantavirus dobravaense
297,KF776688.1,L,partial,Orthohantavirus dobravaense
298,KF776689.1,L,partial,Orthohantavirus dobravaense
299,KF776690.1,L,partial,Orthohantavirus dobravaense
300,KF776692.1,L,partial,Orthohantavirus dobravaense
301,KF776693.1,L,partial,Orthohantavirus dobravaense
302,KF776694.1,L,partial,Orthohantavirus dobravaense
303,KF776695.1,L,partial,Orthohantavirus dobravaense
304,KF776696.1,L,partial,Orthohantavirus dobravaense
305,KF776697.1,L,partial,Orthohantavirus dobravaense
306,KF776698.1,L,partial,Orthohantavirus dobravaense
307,KF776700.1,L,partial,Orthohantavirus dobravaense
308,KF776701.1,L,partial,Orthohantavirus dobravaense
309,KF776702.1,L,partial,Orthohantavirus dobravaense
310,KF776703.1,L,partial,Orthohantavirus dobravaense
311,KF776704.1,L,partial,Orthohantavirus dobravaense
312,KF776705.1,L,partial,Orthohantavirus dobravaense
313,KF776706.1,L,partial,Orthohantavirus dobravaense
314,KF776707.1,L,partial,Orthohantavirus dobravaense
315,KF776709.1,L,partial,Orthohantavirus dobravaense
316,KF776714.1,L,partial,Orthohantavirus dobravaense
317,KF776715.1,L,partial,Orthohantavirus dobravaense
318,KF776716.1,L,partial,Orthohantavirus dobravaense
319,KF776717.1,L,partial,Orthohantavirus dobravaense
320,KF776718.1,L,partial,Orthohantavirus dobravaense
321,KF776720.1,L,partial,Orthohantavirus dobravaense
322,KF776735.1,L,partial,Orthohantavirus dobravaense
323,KF776736.1,M,partial,Orthohantavirus dobravaense
324,KF776737.1,M,partial,Orthohantavirus dobravaense
325,KF776738.1,M,partial,Orthohantavirus dobravaense
326,KF776739.1,M,partial,Orthohantavirus dobravaense
327,KF776740.1,M,partial,Orthohantavirus dobravaense
328,KF776741.1,M,partial,Orthohantavirus dobravaense
329,KF776742.1,M,partial,Orthohantavirus dobravaense
330,KF776743.1,M,partial,Orthohantavirus dobravaense
331,KF776744.1,M,partial,Orthohantavirus dobravaense
332,KF776745.1,M,partial,Orthohantavirus dobravaense
333,KF776746.1,M,partial,Orthohantavirus dobravaense
334,KF776759.1,M,partial,Orthohantavirus dobravaense
335,KF776760.1,M,partial,Orthohantavirus dobravaense
336,KF776761.1,M,partial,Orthohantavirus dobravaense
337,KF776762.1,M,partial,Orthohantavirus dobravaense
338,KF776763.1,M,partial,Orthohantavirus dobravaense
339,KF776765.1,M,partial,Orthohantavirus dobravaense
340,KF776766.1,M,partial,Orthohantavirus dobravaense
341,KF776767.1,M,partial,Orthohantavirus dobravaense
342,KF776768.1,M,partial,Orthohantavirus dobravaense
343,KF776769.1,M,partial,Orthohantavirus dobravaense
344,KF776773.1,M,partial,Orthohantavirus dobravaense
345,KF776775.1,M,partial,Orthohantavirus dobravaense
346,KF776776.1,M,partial,Orthohantavirus dobravaense
347,KF776777.1,M,partial,Orthohantavirus dobravaense
348,KF776778.1,M,partial,Orthohantavirus dobravaense
349,KF776779.1,M,partial,Orthohantavirus dobravaense
350,KF776780.1,M,partial,Orthohantavirus dobravaense
351,KF776782.1,M,partial,Orthohantavirus dobravaense
352,KF776783.1,M,partial,Orthohantavirus dobravaense
353,KF776784.1,M,partial,Orthohantavirus dobravaense
354,KF776785.1,M,partial,Orthohantavirus dobravaense
355,KF776786.1,M,partial,Orthohantavirus dobravaense
356,KF776787.1,M,partial,Orthohantavirus dobravaense
357,KF776788.1,M,partial,Orthohantavirus dobravaense
358,KF776789.1,M,partial,Orthohantavirus dobravaense
359,KF776790.1,M,partial,Orthohantavirus dobravaense
360,KF776791.1,M,partial,Orthohantavirus dobravaense
361,KF776792.1,M,partial,Orthohantavirus dobravaense
362,KF776793.1,S,partial,Orthohantavirus dobravaense
363,KF776794.1,S,partial,Orthohantavirus dobravaense
364,KF776795.1,S,partial,Orthohantavirus dobravaense
365,KF776796.1,S,partial,Orthohantavirus dobravaense
366,KF776797.1,S,partial,Orthohantavirus dobravaense
367,KF776798.1,S,partial,Orthohantavirus dobravaense
368,KF776799.1,S,partial,Orthohantavirus dobravaense
369,KF776800.1,S,partial,Orthohantavirus dobravaense
370,KF776801.1,S,partial,Orthohantavirus dobravaense
371,KF776802.1,S,partial,Orthohantavirus dobravaense
372,KF776803.1,S,partial,Orthohantavirus dobravaense
373,KF776804.1,S,partial,Orthohantavirus dobravaense
374,KF776805.1,S,partial,Orthohantavirus dobravaense
375,KF776806.1,S,partial,Orthohantavirus dobravaense
376,KF776807.1,S,partial,Orthohantavirus dobravaense
377,KF776808.1,S,partial,Orthohantavirus dobravaense
378,KF776809.1,S,partial,Orthohantavirus dobravaense
379,KF776810.1,S,partial,Orthohantavirus dobravaense
380,KF776811.1,S,partial,Orthohantavirus dobravaense
381,KF776812.1,S,partial,Orthohantavirus dobravaense
382,KF776813.1,S,partial,Orthohantavirus dobravaense
383,KF776814.1,S,partial,Orthohantavirus dobravaense
384,KF776815.1,S,partial,Orthohantavirus dobravaense
385,KF776816.1,S,partial,Orthohantavirus dobravaense
386,KF776817.1,S,partial,Orthohantavirus dobravaense
387,KF776818.1,S,partial,Orthohantavirus dobravaense
388,KF776819.1,S,partial,Orthohantavirus dobravaense
389,KF776820.1,S,partial,Orthohantavirus dobravaense
390,KF776821.1,S,partial,Orthohantavirus dobravaense
391,KF776822.1,S,partial,Orthohantavirus dobravaense
392,KF776823.1,S,partial,Orthohantavirus dobravaense
393,KF776824.1,S,partial,Orthohantavirus dobravaense
394,KF776825.1,S,partial,Orthohantavirus dobravaense
395,KF776826.1,S,partial,Orthohantavirus dobravaense
396,KF776827.1,S,partial,Orthohantavirus dobravaense
397,KF776828.1,S,partial,Orthohantavirus dobravaense
398,KF776829.1,S,partial,Orthohantavirus dobravaense
399,KF776830.1,S,partial,Orthohantavirus dobravaense
400,KF776831.1,S,partial,Orthohantavirus dobravaense
401,KF776832.1,S,partial,Orthohantavirus dobravaense
402,KF776833.1,S,partial,Orthohantavirus dobravaense
403,KF776834.1,S,partial,Orthohantavirus dobravaense
404,KF776835.1,S,partial,Orthohantavirus dobravaense
405,KF776836.1,S,partial,Orthohantavirus dobravaense
406,KF776837.1,S,partial,Orthohantavirus dobravaense
407,KF776838.1,S,partial,Orthohantavirus dobravaense
408,KF776839.1,S,partial,Orthohantavirus dobravaense
409,KF776840.1,S,partial,Orthohantavirus dobravaense
410,KF776841.1,S,partial,Orthohantavirus dobravaense
411,KF776842.1,S,partial,Orthohantavirus dobravaense
412,KF776843.1,S,partial,Orthohantavirus dobravaense
413,KF776844.1,S,partial,Orthohantavirus dobravaense
414,KF776845.1,S,partial,Orthohantavirus dobravaense
415,KF776846.1,S,partial,Orthohantavirus dobravaense
416,KF776847.1,S,partial,Orthohantavirus dobravaense
417,KF776848.1,S,partial,Orthohantavirus dobravaense
418,KF776849.1,S,partial,Orthohantavirus dobravaense
419,KF776850.1,S,partial,Orthohantavirus dobravaense
420,KF776851.1,S,partial,Orthohantavirus dobravaense
421,KF776852.1,S,partial,Orthohantavirus dobravaense
422,KF776853.1,S,partial,Orthohantavirus dobravaense
423,KF776882.1,S,partial,Orthohantavirus dobravaense
424,KJ425422.1,L,partial,Orthohantavirus dobravaense
425,KJ154956.1,L,partial,Orthohantavirus dobravaense
426,KJ154957.1,M,partial,Orthohantavirus dobravaense
427,KJ154958.1,S,partial,Orthohantavirus dobravaense
428,KJ182937.1,L,partial,Orthohantavirus dobravaense
429,KJ182938.1,L,partial,Orthohantavirus dobravaense
430,KJ437510.1,S,partial,Orthohantavirus dobravaense
431,KJ437511.1,S,partial,Orthohantavirus dobravaense
432,KF536031.1,L,partial,Orthohantavirus dobravaense
433,KF536032.1,L,partial,Orthohantavirus dobravaense
434,KF536033.1,L,partial,Orthohantavirus dobravaense
435,KF536034.1,M,partial,Orthohantavirus dobravaense
436,KF536035.1,L,partial,Orthohantavirus dobravaense
437,KF615886.1,S,partial,Orthohantavirus dobravaense
438,KF615887.1,S,partial,Orthohantavirus dobravaense
439,KF615888.1,S,partial,Orthohantavirus dobravaense
440,KF615889.1,S,partial,Orthohantavirus dobravaense
441,KF615890.1,S,partial,Orthohantavirus dobravaense
442,KF615891.1,S,partial,Orthohantavirus dobravaense
443,KF615892.1,S,partial,Orthohantavirus dobravaense
444,KF615893.1,S,partial,Orthohantavirus dobravaense
445,KF615894.1,S,partial,Orthohantavirus dobravaense
446,KF615895.1,S,partial,Orthohantavirus dobravaense
447,KF615896.1,S,partial,Orthohantavirus dobravaense
448,KF615897.1,S,partial,Orthohantavirus dobravaense
449,KF615898.1,S,partial,Orthohantavirus dobravaense
450,KF615899.1,S,partial,Orthohantavirus dobravaense
451,KF615900.1,S,partial,Orthohantavirus dobravaense
452,KF615901.1,S,partial,Orthohantavirus dobravaense
453,KF615902.1,S,partial,Orthohantavirus dobravaense
454,KF615903.1,S,partial,Orthohantavirus dobravaense
455,KF615904.1,S,partial,Orthohantavirus dobravaense
456,KF615905.1,S,partial,Orthohantavirus dobravaense
457,KF615906.1,S,partial,Orthohantavirus dobravaense
458,KF425493.1,S,partial,Orthohantavirus dobravaense
459,KF425494.1,S,partial,Orthohantavirus dobravaense
460,KF425495.1,L,partial,Orthohantavirus dobravaense
461,KF425496.2,L,partial,Orthohantavirus dobravaense
462,KF425497.1,L,partial,Orthohantavirus dobravaense
463,KF039738.1,M,partial,Orthohantavirus dobravaense
464,KF039739.1,S,partial,Orthohantavirus dobravaense
465,KF039740.1,L,partial,Orthohantavirus dobravaense
466,KF177176.1,L,partial,Orthohantavirus dobravaense
467,KF177177.1,L,partial,Orthohantavirus dobravaense
468,KC848494.1,S,partial,Orthohantavirus dobravaense
469,KC848495.1,S,partial,Orthohantavirus dobravaense
470,KC848496.1,S,partial,Orthohantavirus dobravaense
471,KC848497.1,S,partial,Orthohantavirus dobravaense
472,KC848498.1,S,partial,Orthohantavirus dobravaense
473,KC848499.1,S,partial,Orthohantavirus dobravaense
474,KC848500.1,S,partial,Orthohantavirus dobravaense
475,KC848501.1,S,partial,Orthohantavirus dobravaense
476,KC676589.1,S,partial,Orthohantavirus dobravaense
477,KC676590.1,S,partial,Orthohantavirus dobravaense
478,KC676591.1,S,partial,Orthohantavirus dobravaense
479,KC676592.1,S,partial,Orthohantavirus dobravaense
480,KC676593.1,S,partial,Orthohantavirus dobravaense
481,KC676594.1,S,partial,Orthohantavirus dobravaense
482,KC676595.1,S,partial,Orthohantavirus dobravaense
483,KC676596.1,S,partial,Orthohantavirus dobravaense
484,KC676597.1,S,partial,Orthohantavirus dobravaense
485,KC676598.1,S,partial,Orthohantavirus dobravaense
486,KC676599.1,S,partial,Orthohantavirus dobravaense
487,KC676600.1,S,partial,Orthohantavirus dobravaense
488,KC676601.1,S,partial,Orthohantavirus dobravaense
489,KC676602.1,S,partial,Orthohantavirus dobravaense
490,KC676603.1,S,partial,Orthohantavirus dobravaense
491,KC676604.1,S,partial,Orthohantavirus dobravaense
492,KC676605.1,S,partial,Orthohantavirus dobravaense
493,KC676606.1,S,partial,Orthohantavirus dobravaense
494,KC676607.1,S,partial,Orthohantavirus dobravaense
495,KC676608.1,S,partial,Orthohantavirus dobravaense
496,KC676617.1,M,partial,Orthohantavirus dobravaense
