,Accession,Segment,Nuc_Completeness,Species
71,OR428178.1,M,partial,Orthohantavirus sinnombreense
72,OR428179.1,L,partial,Orthohantavirus sinnombreense
73,ON571574.1,L,partial,Orthohantavirus sinnombreense
74,ON571575.1,S,partial,Orthohantavirus sinnombreense
75,ON571577.1,L,partial,Orthohantavirus sinnombreense
76,ON571578.1,S,partial,Orthohantavirus sinnombreense
77,ON571579.1,M,partial,Orthohantavirus sinnombreense
78,ON571580.1,L,partial,Orthohantavirus sinnombreense
79,ON571581.1,S,partial,Orthohantavirus sinnombreense
80,ON571582.1,M,partial,Orthohantavirus sinnombreense
81,ON571583.1,L,partial,Orthohantavirus sinnombreense
82,ON571584.1,S,partial,Orthohantavirus sinnombreense
83,ON571587.1,S,partial,Orthohantavirus sinnombreense
84,ON571589.1,L,partial,Orthohantavirus sinnombreense
85,ON571591.1,M,partial,Orthohantavirus sinnombreense
86,ON571592.1,S,partial,Orthohantavirus sinnombreense
87,MZ400486.1,S,partial,Orthohantavirus sinnombreense
88,MZ400487.1,M,partial,Orthohantavirus sinnombreense
89,MZ400488.1,L,partial,Orthohantavirus sinnombreense
90,MW177646.1,S,partial,Orthohantavirus sinnombreense
91,MW177647.1,S,partial,Orthohantavirus sinnombreense
92,MW177648.1,S,partial,Orthohantavirus sinnombreense
93,MW177649.1,S,partial,Orthohantavirus sinnombreense
94,MW177650.1,S,partial,Orthohantavirus sinnombreense
95,MW177651.1,S,partial,Orthohantavirus sinnombreense
96,MW177652.1,S,partial,Orthohantavirus sinnombreense
97,MW177653.1,S,partial,Orthohantavirus sinnombreense
98,MW177654.1,S,partial,Orthohantavirus sinnombreense
99,MW177655.1,S,partial,Orthohantavirus sinnombreense
100,MW177656.1,S,partial,Orthohantavirus sinnombreense
101,MW177657.1,S,partial,Orthohantavirus sinnombreense
102,MW177658.1,S,partial,Orthohantavirus sinnombreense
103,MW177659.1,S,partial,Orthohantavirus sinnombreense
104,MW177660.1,M,partial,Orthohantavirus sinnombreense
105,MW177661.1,M,partial,Orthohantavirus sinnombreense
106,MW177662.1,M,partial,Orthohantavirus sinnombreense
107,MW177663.1,M,partial,Orthohantavirus sinnombreense
108,MW177664.1,M,partial,Orthohantavirus sinnombreense
109,MW177665.1,M,partial,Orthohantavirus sinnombreense
110,MW177666.1,M,partial,Orthohantavirus sinnombreense
111,MW177667.1,M,partial,Orthohantavirus sinnombreense
112,MW177668.1,M,partial,Orthohantavirus sinnombreense
113,MW177669.1,M,partial,Orthohantavirus sinnombreense
114,MW177670.1,M,partial,Orthohantavirus sinnombreense
115,MW177671.1,M,partial,Orthohantavirus sinnombreense
116,MW177672.1,M,partial,Orthohantavirus sinnombreense
117,MW177673.1,M,partial,Orthohantavirus sinnombreense
118,MW177674.1,L,partial,Orthohantavirus sinnombreense
119,MW177675.1,L,partial,Orthohantavirus sinnombreense
120,MW177676.1,L,partial,Orthohantavirus sinnombreense
121,MW177677.1,L,partial,Orthohantavirus sinnombreense
122,MW177678.1,L,partial,Orthohantavirus sinnombreense
123,MW177679.1,L,partial,Orthohantavirus sinnombreense
124,MW177680.1,L,partial,Orthohantavirus sinnombreense
125,MW177681.1,L,partial,Orthohantavirus sinnombreense
126,MW177682.1,L,partial,Orthohantavirus sinnombreense
127,MW177683.1,L,partial,Orthohantavirus sinnombreense
128,MW177684.1,L,partial,Orthohantavirus sinnombreense
129,MW177685.1,L,partial,Orthohantavirus sinnombreense
130,MW177686.1,L,partial,Orthohantavirus sinnombreense
131,MW177687.1,L,partial,Orthohantavirus sinnombreense
132,MK386451.1,M,partial,Orthohantavirus sinnombreense
133,MK386452.1,M,partial,Orthohantavirus sinnombreense
134,MK386453.1,M,partial,Orthohantavirus sinnombreense
135,MK386454.1,M,partial,Orthohantavirus sinnombreense
136,MK386455.1,M,partial,Orthohantavirus sinnombreense
137,MK386456.1,M,partial,Orthohantavirus sinnombreense
138,MK386457.1,M,partial,Orthohantavirus sinnombreense
139,MK386458.1,M,partial,Orthohantavirus sinnombreense
140,MK386459.1,M,partial,Orthohantavirus sinnombreense
141,MK386460.1,M,partial,Orthohantavirus sinnombreense
142,MK386461.1,M,partial,Orthohantavirus sinnombreense
143,MK386462.1,M,partial,Orthohantavirus sinnombreense
144,MK386463.1,M,partial,Orthohantavirus sinnombreense
145,MG992890.1,M,partial,Orthohantavirus sinnombreense
146,MG992891.1,M,partial,Orthohantavirus sinnombreense
147,MG992892.1,M,partial,Orthohantavirus sinnombreense
148,MG992893.1,M,partial,Orthohantavirus sinnombreense
149,MG992894.1,M,partial,Orthohantavirus sinnombreense
150,MG992895.1,M,partial,Orthohantavirus sinnombreense
151,MG992896.1,M,partial,Orthohantavirus sinnombreense
152,MG992897.1,M,partial,Orthohantavirus sinnombreense
153,MG992898.1,M,partial,Orthohantavirus sinnombreense
154,MG992899.1,M,partial,Orthohantavirus sinnombreense
155,MG992900.1,M,partial,Orthohantavirus sinnombreense
156,MG992901.1,M,partial,Orthohantavirus sinnombreense
157,MG992902.1,M,partial,Orthohantavirus sinnombreense
158,MG992903.1,M,partial,Orthohantavirus sinnombreense
159,MG992904.1,M,partial,Orthohantavirus sinnombreense
160,MG992905.1,M,partial,Orthohantavirus sinnombreense
161,MG992906.1,M,partial,Orthohantavirus sinnombreense
162,MG992907.1,M,partial,Orthohantavirus sinnombreense
163,MG992908.1,M,partial,Orthohantavirus sinnombreense
164,MG992909.1,M,partial,Orthohantavirus sinnombreense
165,MG992910.1,M,partial,Orthohantavirus sinnombreense
166,MG992911.1,M,partial,Orthohantavirus sinnombreense
167,MG992912.1,M,partial,Orthohantavirus sinnombreense
168,MG992913.1,M,partial,Orthohantavirus sinnombreense
169,MG992914.1,M,partial,Orthohantavirus sinnombreense
170,MG992915.1,M,partial,Orthohantavirus sinnombreense
171,MG992916.1,M,partial,Orthohantavirus sinnombreense
172,MG992917.1,M,partial,Orthohantavirus sinnombreense
173,MG992918.1,M,partial,Orthohantavirus sinnombreense
174,MG992919.1,M,partial,Orthohantavirus sinnombreense
175,MG992920.1,M,partial,Orthohantavirus sinnombreense
176,MG992921.1,M,partial,Orthohantavirus sinnombreense
177,MG992922.1,M,partial,Orthohantavirus sinnombreense
178,MG992923.1,M,partial,Orthohantavirus sinnombreense
179,MG992924.1,M,partial,Orthohantavirus sinnombreense
180,MG992925.1,M,partial,Orthohantavirus sinnombreense
181,MG992926.1,M,partial,Orthohantavirus sinnombreense
182,MG992927.1,M,partial,Orthohantavirus sinnombreense
183,MG992928.1,M,partial,Orthohantavirus sinnombreense
184,MG992929.1,M,partial,Orthohantavirus sinnombreense
185,MG992930.1,M,partial,Orthohantavirus sinnombreense
186,MG992931.1,M,partial,Orthohantavirus sinnombreense
187,MG992932.1,M,partial,Orthohantavirus sinnombreense
188,MG992933.1,M,partial,Orthohantavirus sinnombreense
189,MG992934.1,M,partial,Orthohantavirus sinnombreense
190,MG992935.1,M,partial,Orthohantavirus sinnombreense
191,MG992936.1,M,partial,Orthohantavirus sinnombreense
192,MG992937.1,M,partial,Orthohantavirus sinnombreense
193,MG992938.1,M,partial,Orthohantavirus sinnombreense
194,KX066110.1,S,partial,Orthohantavirus sinnombreense
195,KX066111.1,S,partial,Orthohantavirus sinnombreense
196,KX066112.1,S,partial,Orthohantavirus sinnombreense
197,KX066113.1,S,partial,Orthohantavirus sinnombreense
198,KX066114.1,S,partial,Orthohantavirus sinnombreense
199,KX066117.1,S,partial,Orthohantavirus sinnombreense
200,KX066118.1,S,partial,Orthohantavirus sinnombreense
201,KX066119.1,S,partial,Orthohantavirus sinnombreense
202,KX066120.1,S,partial,Orthohantavirus sinnombreense
203,KX066121.1,S,partial,Orthohantavirus sinnombreense
204,KX066122.1,S,partial,Orthohantavirus sinnombreense
205,MG717391.1,S,complete,Orthohantavirus sinnombreense
206,MG717392.1,M,complete,Orthohantavirus sinnombreense
207,MG717393.1,L,complete,Orthohantavirus sinnombreense
208,KT885044.1,L,complete,Orthohantavirus sinnombreense
209,KT885045.1,M,complete,Orthohantavirus sinnombreense
210,KT885046.1,S,complete,Orthohantavirus sinnombreense
211,KF537001.1,L,complete,Orthohantavirus sinnombreense
212,KF537002.1,M,complete,Orthohantavirus sinnombreense
213,KF537003.1,S,complete,Orthohantavirus sinnombreense
214,KF537004.1,L,complete,Orthohantavirus sinnombreense
215,KF537005.1,M,complete,Orthohantavirus sinnombreense
216,KF537006.1,S,complete,Orthohantavirus sinnombreense
220,JQ690281.1,S,partial,Orthohantavirus sinnombreense
221,JQ690282.1,S,partial,Orthohantavirus sinnombreense
222,JQ690283.1,S,partial,Orthohantavirus sinnombreense
223,JQ690284.1,S,partial,Orthohantavirus sinnombreense
224,JQ690276.1,S,partial,Orthohantavirus sinnombreense
225,JQ690277.1,S,partial,Orthohantavirus sinnombreense
226,JQ690278.1,S,partial,Orthohantavirus sinnombreense
227,JQ690279.1,M,partial,Orthohantavirus sinnombreense
228,JQ690280.1,M,partial,Orthohantavirus sinnombreense
229,JN097462.1,S,partial,Orthohantavirus sinnombreense
230,JN097463.1,S,partial,Orthohantavirus sinnombreense
231,JN097467.1,S,partial,Orthohantavirus sinnombreense
232,JN097470.1,S,partial,Orthohantavirus sinnombreense
233,JN097476.1,S,partial,Orthohantavirus sinnombreense
234,JN097481.1,M,partial,Orthohantavirus sinnombreense
235,JN097483.1,M,partial,Orthohantavirus sinnombreense
236,JN097485.1,M,partial,Orthohantavirus sinnombreense
237,JN097487.1,M,partial,Orthohantavirus sinnombreense
250,DQ090888.1,S,partial,Orthohantavirus sinnombreense
251,DQ090889.1,M,partial,Orthohantavirus sinnombreense
252,DQ090890.1,S,partial,Orthohantavirus sinnombreense
253,DQ090891.1,M,partial,Orthohantavirus sinnombreense
257,AF425256.1,L,partial,Orthohantavirus sinnombreense
258,AF380925.1,M,partial,Orthohantavirus sinnombreense
259,AF380926.1,M,partial,Orthohantavirus sinnombreense
260,AF380927.1,M,partial,Orthohantavirus sinnombreense
261,AF380928.1,M,partial,Orthohantavirus sinnombreense
262,AF281850.1,S,partial,Orthohantavirus sinnombreense
263,AF281851.1,S,partial,Orthohantavirus sinnombreense
264,AF281852.1,M,partial,Orthohantavirus sinnombreense
265,AF281853.1,M,partial,Orthohantavirus sinnombreense
266,AF281854.1,M,partial,Orthohantavirus sinnombreense
267,AF281855.1,M,partial,Orthohantavirus sinnombreense
268,AF281856.1,M,partial,Orthohantavirus sinnombreense
269,AF281857.1,M,partial,Orthohantavirus sinnombreense
270,U54582.1,S,partial,Orthohantavirus sinnombreense
271,U54583.1,S,partial,Orthohantavirus sinnombreense
272,AF030551.1,M,partial,Orthohantavirus sinnombreense
273,AF030552.1,M,partial,Orthohantavirus sinnombreense
274,U12136.1,S,partial,Orthohantavirus sinnombreense
275,U47135.1,S,partial,Orthohantavirus sinnombreense
276,U36801.1,M,partial,Orthohantavirus sinnombreense
277,U36802.1,M,partial,Orthohantavirus sinnombreense
278,U36803.1,M,partial,Orthohantavirus sinnombreense
279,U36804.1,M,partial,Orthohantavirus sinnombreense
280,U36805.1,M,partial,Orthohantavirus sinnombreense
281,U36806.1,M,partial,Orthohantavirus sinnombreense
282,U36807.1,M,partial,Orthohantavirus sinnombreense
283,U36808.1,M,partial,Orthohantavirus sinnombreense
284,U36809.1,M,partial,Orthohantavirus sinnombreense
285,U36810.1,M,partial,Orthohantavirus sinnombreense
286,U36811.1,M,partial,Orthohantavirus sinnombreense
287,U36812.1,M,partial,Orthohantavirus sinnombreense
288,U36813.1,M,partial,Orthohantavirus sinnombreense
289,U36814.1,M,partial,Orthohantavirus sinnombreense
290,U36815.1,M,partial,Orthohantavirus sinnombreense
291,U36816.1,M,partial,Orthohantavirus sinnombreense
292,U36817.1,M,partial,Orthohantavirus sinnombreense
293,U36818.1,M,partial,Orthohantavirus sinnombreense
294,U36819.1,M,partial,Orthohantavirus sinnombreense
295,U36820.1,M,partial,Orthohantavirus sinnombreense
296,U36821.1,M,partial,Orthohantavirus sinnombreense
297,U17102.1,S,partial,Orthohantavirus sinnombreense
298,U17103.1,S,partial,Orthohantavirus sinnombreense
299,U09308.1,S,partial,Orthohantavirus sinnombreense
300,L37901.1,L,partial,Orthohantavirus sinnombreense
301,L37902.1,L,partial,Orthohantavirus sinnombreense
302,L37903.1,M,partial,Orthohantavirus sinnombreense
303,L37904.1,S,partial,Orthohantavirus sinnombreense
304,U09486.1,S,partial,Orthohantavirus sinnombreense
305,U09487.1,S,partial,Orthohantavirus sinnombreense
306,U09488.1,S,partial,Orthohantavirus sinnombreense
307,U09489.1,S,partial,Orthohantavirus sinnombreense
308,U33445.1,M,partial,Orthohantavirus sinnombreense
309,U33219.1,M,partial,Orthohantavirus sinnombreense
310,U33220.1,S,partial,Orthohantavirus sinnombreense
311,U33221.1,M,partial,Orthohantavirus sinnombreense
312,U33222.1,M,partial,Orthohantavirus sinnombreense
313,U33223.1,M,partial,Orthohantavirus sinnombreense
314,U33224.1,M,partial,Orthohantavirus sinnombreense
315,U33227.1,M,partial,Orthohantavirus sinnombreense
316,U33228.1,S,partial,Orthohantavirus sinnombreense
317,U33229.1,M,partial,Orthohantavirus sinnombreense
318,U33230.1,M,partial,Orthohantavirus sinnombreense
319,U33231.1,M,partial,Orthohantavirus sinnombreense
320,U33232.1,S,partial,Orthohantavirus sinnombreense
321,U33233.1,M,partial,Orthohantavirus sinnombreense
322,U33234.1,M,partial,Orthohantavirus sinnombreense
323,U33235.1,S,partial,Orthohantavirus sinnombreense
324,U33236.1,M,partial,Orthohantavirus sinnombreense
325,U33237.1,S,partial,Orthohantavirus sinnombreense
326,U33238.1,M,partial,Orthohantavirus sinnombreense
327,U33239.1,M,partial,Orthohantavirus sinnombreense
328,U33242.1,M,partial,Orthohantavirus sinnombreense
329,U33243.1,S,partial,Orthohantavirus sinnombreense
330,U33244.1,M,partial,Orthohantavirus sinnombreense
331,U33257.1,M,partial,Orthohantavirus sinnombreense
332,U33258.1,M,partial,Orthohantavirus sinnombreense
333,U33259.1,S,partial,Orthohantavirus sinnombreense
334,U33262.1,M,partial,Orthohantavirus sinnombreense
335,U33263.1,S,partial,Orthohantavirus sinnombreense
336,U33264.1,M,partial,Orthohantavirus sinnombreense
337,U18098.1,S,partial,Orthohantavirus sinnombreense
338,U10889.1,M,partial,Orthohantavirus sinnombreense
339,U10890.1,S,partial,Orthohantavirus sinnombreense
340,U10891.1,S,partial,Orthohantavirus sinnombreense
341,L33474.1,M,partial,Orthohantavirus sinnombreense
342,L33683.1,S,partial,Orthohantavirus sinnombreense
343,L33684.1,M,partial,Orthohantavirus sinnombreense
344,L33816.1,S,partial,Orthohantavirus sinnombreense
345,L35008.1,L,partial,Orthohantavirus sinnombreense
346,L35009.1,L,partial,Orthohantavirus sinnombreense
347,U11431.1,S,partial,Orthohantavirus sinnombreense
348,U11432.1,S,partial,Orthohantavirus sinnombreense
349,U11433.1,S,partial,Orthohantavirus sinnombreense
350,U11434.1,S,partial,Orthohantavirus sinnombreense
351,U11435.1,S,partial,Orthohantavirus sinnombreense
352,U11436.1,S,partial,Orthohantavirus sinnombreense
353,L27759.1,M,partial,Orthohantavirus sinnombreense
354,L27763.1,M,partial,Orthohantavirus sinnombreense
355,L27764.1,M,partial,Orthohantavirus sinnombreense
356,L27765.1,M,partial,Orthohantavirus sinnombreense
357,L27766.1,M,partial,Orthohantavirus sinnombreense
358,L27773.1,M,partial,Orthohantavirus sinnombreense
359,L27774.1,M,partial,Orthohantavirus sinnombreense
360,L27775.1,M,partial,Orthohantavirus sinnombreense
361,L27781.1,M,partial,Orthohantavirus sinnombreense
362,L27782.1,M,partial,Orthohantavirus sinnombreense
363,L27783.1,M,partial,Orthohantavirus sinnombreense
364,L27791.1,M,partial,Orthohantavirus sinnombreense
365,L27792.1,M,partial,Orthohantavirus sinnombreense
366,L27760.1,M,partial,Orthohantavirus sinnombreense
367,L27761.1,M,partial,Orthohantavirus sinnombreense
368,L27762.1,M,partial,Orthohantavirus sinnombreense
369,L27767.1,M,partial,Orthohantavirus sinnombreense
370,L27768.1,M,partial,Orthohantavirus sinnombreense
371,L27769.1,M,partial,Orthohantavirus sinnombreense
372,L27770.1,M,partial,Orthohantavirus sinnombreense
373,L27771.1,M,partial,Orthohantavirus sinnombreense
374,L27772.1,M,partial,Orthohantavirus sinnombreense
375,L27776.1,M,partial,Orthohantavirus sinnombreense
376,L27777.1,M,partial,Orthohantavirus sinnombreense
377,L27778.1,M,partial,Orthohantavirus sinnombreense
378,L27779.1,M,partial,Orthohantavirus sinnombreense
379,L27780.1,M,partial,Orthohantavirus sinnombreense
380,L27784.1,M,partial,Orthohantavirus sinnombreense
381,L27785.1,M,partial,Orthohantavirus sinnombreense
382,L27786.1,M,partial,Orthohantavirus sinnombreense
383,L27787.1,M,partial,Orthohantavirus sinnombreense
384,L27788.1,M,partial,Orthohantavirus sinnombreense
385,L27789.1,M,partial,Orthohantavirus sinnombreense
386,L27790.1,M,partial,Orthohantavirus sinnombreense
387,L27793.1,M,partial,Orthohantavirus sinnombreense
388,L27794.1,M,partial,Orthohantavirus sinnombreense
389,L27795.1,M,partial,Orthohantavirus sinnombreense
390,U02471.1,M,partial,Orthohantavirus sinnombreense
391,U02472.1,M,partial,Orthohantavirus sinnombreense
392,U02473.1,M,partial,Orthohantavirus sinnombreense
393,U02474.1,S,partial,Orthohantavirus sinnombreense
394,L25782.1,L,partial,Orthohantavirus sinnombreense
395,L25783.1,M,partial,Orthohantavirus sinnombreense
396,L25784.1,S,partial,Orthohantavirus sinnombreense
