,Accession,Segment,Nuc_Completeness,Species
156,PQ256536.1,L,partial,Orthohantavirus puumalaense
157,PQ256537.1,L,partial,Orthohantavirus puumalaense
158,PQ256538.1,L,partial,Orthohantavirus puumalaense
159,PQ256539.1,L,partial,Orthohantavirus puumalaense
160,PQ256540.1,L,partial,Orthohantavirus puumalaense
161,PQ256541.1,L,partial,Orthohantavirus puumalaense
162,PQ256542.1,L,partial,Orthohantavirus puumalaense
163,PQ256543.1,L,partial,Orthohantavirus puumalaense
164,PQ256544.1,L,partial,Orthohantavirus puumalaense
165,PQ256545.1,L,partial,Orthohantavirus puumalaense
166,PQ256546.1,L,partial,Orthohantavirus puumalaense
167,PQ256547.1,L,partial,Orthohantavirus puumalaense
168,PQ256548.1,L,partial,Orthohantavirus puumalaense
169,PQ256549.1,L,partial,Orthohantavirus puumalaense
170,PQ256550.1,L,partial,Orthohantavirus puumalaense
171,PQ256551.1,L,partial,Orthohantavirus puumalaense
172,PQ256552.1,L,partial,Orthohantavirus puumalaense
173,PQ256553.1,L,partial,Orthohantavirus puumalaense
174,PQ256554.1,L,partial,Orthohantavirus puumalaense
175,PQ256555.1,L,partial,Orthohantavirus puumalaense
176,PQ256556.1,L,partial,Orthohantavirus puumalaense
177,PQ256557.1,L,partial,Orthohantavirus puumalaense
178,PQ256558.1,L,partial,Orthohantavirus puumalaense
179,PQ256559.1,L,partial,Orthohantavirus puumalaense
180,PQ256560.1,L,partial,Orthohantavirus puumalaense
181,PQ256561.1,L,partial,Orthohantavirus puumalaense
182,PQ256564.1,L,partial,Orthohantavirus puumalaense
183,PQ256565.1,L,partial,Orthohantavirus puumalaense
184,PQ256566.1,L,partial,Orthohantavirus puumalaense
185,PQ256567.1,L,partial,Orthohantavirus puumalaense
186,PQ256568.1,L,partial,Orthohantavirus puumalaense
187,PQ256569.1,L,partial,Orthohantavirus puumalaense
188,PQ256570.1,L,partial,Orthohantavirus puumalaense
189,PQ256571.1,L,partial,Orthohantavirus puumalaense
190,PQ256572.1,L,partial,Orthohantavirus puumalaense
191,PQ256573.1,L,partial,Orthohantavirus puumalaense
192,PQ256574.1,L,partial,Orthohantavirus puumalaense
193,PQ256575.1,L,partial,Orthohantavirus puumalaense
194,PQ256576.1,L,partial,Orthohantavirus puumalaense
195,PQ256577.1,L,partial,Orthohantavirus puumalaense
196,PQ256578.1,L,partial,Orthohantavirus puumalaense
197,PQ256579.1,L,partial,Orthohantavirus puumalaense
198,PQ256580.1,L,partial,Orthohantavirus puumalaense
199,PQ256586.1,L,partial,Orthohantavirus puumalaense
200,PQ256587.1,L,partial,Orthohantavirus puumalaense
201,PQ256588.1,L,partial,Orthohantavirus puumalaense
202,PQ256589.1,L,partial,Orthohantavirus puumalaense
203,PQ256590.1,L,partial,Orthohantavirus puumalaense
204,PQ256591.1,L,partial,Orthohantavirus puumalaense
205,PQ256592.1,L,partial,Orthohantavirus puumalaense
206,PQ256593.1,L,partial,Orthohantavirus puumalaense
207,PQ256594.1,L,partial,Orthohantavirus puumalaense
208,PQ256595.1,L,partial,Orthohantavirus puumalaense
209,PQ256596.1,L,partial,Orthohantavirus puumalaense
210,PQ256597.1,L,partial,Orthohantavirus puumalaense
211,PQ256598.1,L,partial,Orthohantavirus puumalaense
212,PQ256599.1,L,partial,Orthohantavirus puumalaense
213,PQ256600.1,L,partial,Orthohantavirus puumalaense
214,PQ256601.1,L,partial,Orthohantavirus puumalaense
215,PQ256602.1,L,partial,Orthohantavirus puumalaense
216,PQ256603.1,L,partial,Orthohantavirus puumalaense
217,PQ256604.1,L,partial,Orthohantavirus puumalaense
218,PQ256605.1,L,partial,Orthohantavirus puumalaense
219,PQ256606.1,L,partial,Orthohantavirus puumalaense
220,PQ256607.1,L,partial,Orthohantavirus puumalaense
221,PQ256608.1,L,partial,Orthohantavirus puumalaense
222,PQ256609.1,L,partial,Orthohantavirus puumalaense
223,PQ256610.1,L,partial,Orthohantavirus puumalaense
224,PQ256611.1,L,partial,Orthohantavirus puumalaense
225,PQ256612.1,L,partial,Orthohantavirus puumalaense
226,PQ256613.1,L,partial,Orthohantavirus puumalaense
227,PQ256614.1,L,partial,Orthohantavirus puumalaense
228,PQ256615.1,L,partial,Orthohantavirus puumalaense
229,PQ256616.1,L,partial,Orthohantavirus puumalaense
230,PQ256617.1,L,partial,Orthohantavirus puumalaense
231,PQ256618.1,L,partial,Orthohantavirus puumalaense
232,PQ256619.1,L,partial,Orthohantavirus puumalaense
233,PQ256620.1,L,partial,Orthohantavirus puumalaense
234,PQ256621.1,L,partial,Orthohantavirus puumalaense
235,PQ256622.1,L,partial,Orthohantavirus puumalaense
236,PQ256623.1,L,partial,Orthohantavirus puumalaense
237,PQ256624.1,L,partial,Orthohantavirus puumalaense
238,PQ256625.1,L,partial,Orthohantavirus puumalaense
239,PQ256626.1,L,partial,Orthohantavirus puumalaense
240,PQ256627.1,L,partial,Orthohantavirus puumalaense
241,PQ256628.1,L,partial,Orthohantavirus puumalaense
242,PQ256629.1,L,partial,Orthohantavirus puumalaense
243,OR915058.1,S,complete,Orthohantavirus puumalaense
244,OR915059.1,M,complete,Orthohantavirus puumalaense
245,OR915060.1,L,complete,Orthohantavirus puumalaense
246,OR915061.1,S,complete,Orthohantavirus puumalaense
247,OR915062.1,M,complete,Orthohantavirus puumalaense
248,OR915063.1,L,complete,Orthohantavirus puumalaense
249,OR915064.1,S,complete,Orthohantavirus puumalaense
250,OR915065.1,M,complete,Orthohantavirus puumalaense
251,OR915066.1,L,complete,Orthohantavirus puumalaense
252,OR915067.1,S,partial,Orthohantavirus puumalaense
253,OR915068.1,M,partial,Orthohantavirus puumalaense
254,OR915069.1,L,partial,Orthohantavirus puumalaense
255,OR915070.1,S,complete,Orthohantavirus puumalaense
256,OR915071.1,M,complete,Orthohantavirus puumalaense
257,OR915072.1,L,complete,Orthohantavirus puumalaense
258,OQ503846.1,L,partial,Orthohantavirus puumalaense
259,OQ503847.1,L,partial,Orthohantavirus puumalaense
260,OQ503848.1,L,partial,Orthohantavirus puumalaense
261,OQ503849.1,L,partial,Orthohantavirus puumalaense
262,OQ503850.1,L,partial,Orthohantavirus puumalaense
263,OQ606916.1,L,partial,Orthohantavirus puumalaense
264,OQ606917.1,M,partial,Orthohantavirus puumalaense
265,OQ606918.1,S,partial,Orthohantavirus puumalaense
266,OQ606919.1,L,partial,Orthohantavirus puumalaense
267,OQ606920.1,M,partial,Orthohantavirus puumalaense
268,OQ606921.1,S,partial,Orthohantavirus puumalaense
269,PP375538.1,L,partial,Orthohantavirus puumalaense
270,PP375539.1,L,partial,Orthohantavirus puumalaense
271,PP375540.1,L,partial,Orthohantavirus puumalaense
272,PP375552.1,L,partial,Orthohantavirus puumalaense
273,PP375553.1,L,partial,Orthohantavirus puumalaense
274,PP375554.1,L,partial,Orthohantavirus puumalaense
275,PP375555.1,M,partial,Orthohantavirus puumalaense
276,PP375556.1,M,partial,Orthohantavirus puumalaense
277,PP375557.1,M,partial,Orthohantavirus puumalaense
278,PP375558.1,S,partial,Orthohantavirus puumalaense
279,PP375559.1,S,partial,Orthohantavirus puumalaense
280,PP375560.1,S,partial,Orthohantavirus puumalaense
281,LC790458.1,S,partial,Orthohantavirus puumalaense
282,LC790459.1,S,partial,Orthohantavirus puumalaense
283,LC790460.1,S,partial,Orthohantavirus puumalaense
284,LC790461.1,S,partial,Orthohantavirus puumalaense
285,LC790462.1,M,partial,Orthohantavirus puumalaense
286,LC790463.1,M,partial,Orthohantavirus puumalaense
287,LC790464.1,M,partial,Orthohantavirus puumalaense
288,LC790465.1,M,partial,Orthohantavirus puumalaense
289,LC790466.1,M,partial,Orthohantavirus puumalaense
290,LC790467.1,L,partial,Orthohantavirus puumalaense
291,LC790468.1,L,partial,Orthohantavirus puumalaense
292,LC790469.1,L,partial,Orthohantavirus puumalaense
293,LC790470.1,L,partial,Orthohantavirus puumalaense
294,LC790471.1,L,partial,Orthohantavirus puumalaense
295,PP112638.1,S,partial,Orthohantavirus puumalaense
296,OR999067.1,S,partial,Orthohantavirus puumalaense
297,OR999068.1,S,partial,Orthohantavirus puumalaense
298,OR999069.1,S,partial,Orthohantavirus puumalaense
299,OR999070.1,S,partial,Orthohantavirus puumalaense
300,OR974340.1,S,partial,Orthohantavirus puumalaense
301,OR974341.1,S,partial,Orthohantavirus puumalaense
302,OR974342.1,S,partial,Orthohantavirus puumalaense
303,OR974343.1,S,partial,Orthohantavirus puumalaense
304,OR974344.1,S,partial,Orthohantavirus puumalaense
305,OR974345.1,S,partial,Orthohantavirus puumalaense
306,OR974357.1,S,partial,Orthohantavirus puumalaense
307,OR974358.1,S,partial,Orthohantavirus puumalaense
308,OR974359.1,S,partial,Orthohantavirus puumalaense
309,OR974360.1,S,partial,Orthohantavirus puumalaense
310,OR974361.1,S,partial,Orthohantavirus puumalaense
311,OR974362.1,S,partial,Orthohantavirus puumalaense
312,OR974363.1,S,partial,Orthohantavirus puumalaense
313,OR974364.1,S,partial,Orthohantavirus puumalaense
314,OR974366.1,S,partial,Orthohantavirus puumalaense
315,OR974367.1,M,partial,Orthohantavirus puumalaense
316,OR974376.1,M,partial,Orthohantavirus puumalaense
317,OR974385.1,M,partial,Orthohantavirus puumalaense
318,OR974388.1,M,partial,Orthohantavirus puumalaense
319,OR420714.1,S,partial,Orthohantavirus puumalaense
320,OR420715.1,S,partial,Orthohantavirus puumalaense
321,OR420716.1,S,partial,Orthohantavirus puumalaense
322,OR420717.1,S,partial,Orthohantavirus puumalaense
323,OR420718.1,S,partial,Orthohantavirus puumalaense
324,OR420719.1,S,partial,Orthohantavirus puumalaense
325,OR420720.1,S,partial,Orthohantavirus puumalaense
326,OR420721.1,S,partial,Orthohantavirus puumalaense
327,OR420722.1,S,partial,Orthohantavirus puumalaense
328,OR420723.1,S,partial,Orthohantavirus puumalaense
329,OR420724.1,S,partial,Orthohantavirus puumalaense
330,OQ714392.1,S,partial,Orthohantavirus puumalaense
331,OQ714395.1,S,partial,Orthohantavirus puumalaense
332,OQ714397.1,S,partial,Orthohantavirus puumalaense
333,OQ714398.1,S,partial,Orthohantavirus puumalaense
334,OP561818.1,S,partial,Orthohantavirus puumalaense
335,OP561819.1,S,partial,Orthohantavirus puumalaense
336,OP561820.1,S,partial,Orthohantavirus puumalaense
337,OP561821.1,S,partial,Orthohantavirus puumalaense
338,OP561822.1,S,partial,Orthohantavirus puumalaense
339,OP561823.1,S,partial,Orthohantavirus puumalaense
340,OP561824.1,S,partial,Orthohantavirus puumalaense
341,OP561825.1,L,partial,Orthohantavirus puumalaense
342,OP561826.1,M,partial,Orthohantavirus puumalaense
343,OP561827.1,S,partial,Orthohantavirus puumalaense
344,OP561828.1,L,partial,Orthohantavirus puumalaense
345,OP561829.1,M,partial,Orthohantavirus puumalaense
346,OP561830.1,S,partial,Orthohantavirus puumalaense
347,OP561831.1,L,partial,Orthohantavirus puumalaense
348,OP561832.1,M,partial,Orthohantavirus puumalaense
349,OP561833.1,S,partial,Orthohantavirus puumalaense
350,OP561834.1,L,partial,Orthohantavirus puumalaense
351,OP561835.1,M,partial,Orthohantavirus puumalaense
352,OP561836.1,S,partial,Orthohantavirus puumalaense
353,OP561837.1,L,partial,Orthohantavirus puumalaense
354,OP561838.1,M,partial,Orthohantavirus puumalaense
355,OP561839.1,S,partial,Orthohantavirus puumalaense
356,OP561840.1,L,partial,Orthohantavirus puumalaense
357,OP561841.1,M,partial,Orthohantavirus puumalaense
358,OP561842.1,S,partial,Orthohantavirus puumalaense
359,OP561843.1,L,partial,Orthohantavirus puumalaense
360,OP561844.1,M,partial,Orthohantavirus puumalaense
361,OP561845.1,S,partial,Orthohantavirus puumalaense
362,OP561846.1,L,partial,Orthohantavirus puumalaense
363,OP561847.1,M,partial,Orthohantavirus puumalaense
364,OP561848.1,S,partial,Orthohantavirus puumalaense
365,OP561849.1,L,partial,Orthohantavirus puumalaense
366,OP561850.1,M,partial,Orthohantavirus puumalaense
367,OP561851.1,S,partial,Orthohantavirus puumalaense
368,OP561852.1,L,partial,Orthohantavirus puumalaense
369,OP561853.1,M,partial,Orthohantavirus puumalaense
370,OP561854.1,S,partial,Orthohantavirus puumalaense
371,OQ067390.1,S,partial,Orthohantavirus puumalaense
372,OQ067391.1,S,partial,Orthohantavirus puumalaense
373,OQ067392.1,S,partial,Orthohantavirus puumalaense
374,OQ067393.1,S,partial,Orthohantavirus puumalaense
375,OQ067394.1,S,partial,Orthohantavirus puumalaense
376,OP484974.1,M,partial,Orthohantavirus puumalaense
377,OP484975.1,M,partial,Orthohantavirus puumalaense
378,OP484976.1,M,partial,Orthohantavirus puumalaense
379,OP484977.1,M,partial,Orthohantavirus puumalaense
380,OP441075.1,M,partial,Orthohantavirus puumalaense
381,OP441076.1,M,partial,Orthohantavirus puumalaense
382,OP441077.1,M,partial,Orthohantavirus puumalaense
383,OP441078.1,M,partial,Orthohantavirus puumalaense
384,OP441079.1,M,partial,Orthohantavirus puumalaense
385,OP441080.1,M,partial,Orthohantavirus puumalaense
386,OP441081.1,M,partial,Orthohantavirus puumalaense
387,OP441082.1,M,partial,Orthohantavirus puumalaense
388,OP459273.1,S,partial,Orthohantavirus puumalaense
389,OP459274.1,S,partial,Orthohantavirus puumalaense
390,OP459275.1,S,partial,Orthohantavirus puumalaense
391,OP459276.1,S,partial,Orthohantavirus puumalaense
392,OP459277.1,S,partial,Orthohantavirus puumalaense
393,OP459278.1,S,partial,Orthohantavirus puumalaense
394,OP459279.1,S,partial,Orthohantavirus puumalaense
395,OP459280.1,S,partial,Orthohantavirus puumalaense
396,OP459281.1,S,partial,Orthohantavirus puumalaense
397,OP459282.1,S,partial,Orthohantavirus puumalaense
398,OP459283.1,S,partial,Orthohantavirus puumalaense
399,OP459284.1,S,partial,Orthohantavirus puumalaense
400,OP459285.1,S,partial,Orthohantavirus puumalaense
401,OP459286.1,S,partial,Orthohantavirus puumalaense
402,OP459287.1,S,partial,Orthohantavirus puumalaense
403,OP459288.1,S,partial,Orthohantavirus puumalaense
404,OP459289.1,S,partial,Orthohantavirus puumalaense
405,OP459290.1,S,partial,Orthohantavirus puumalaense
406,OP459291.1,S,partial,Orthohantavirus puumalaense
407,OP459292.1,S,partial,Orthohantavirus puumalaense
408,OP459293.1,S,partial,Orthohantavirus puumalaense
409,OP459294.1,S,partial,Orthohantavirus puumalaense
410,OP459295.1,S,partial,Orthohantavirus puumalaense
411,OQ283007.1,S,partial,Orthohantavirus puumalaense
412,OQ283008.1,S,partial,Orthohantavirus puumalaense
413,OQ283009.1,S,partial,Orthohantavirus puumalaense
414,OQ283010.1,S,partial,Orthohantavirus puumalaense
415,OQ283011.1,S,partial,Orthohantavirus puumalaense
416,OQ283012.1,S,partial,Orthohantavirus puumalaense
417,OQ283013.1,S,partial,Orthohantavirus puumalaense
418,OQ283014.1,S,partial,Orthohantavirus puumalaense
419,OQ283015.1,S,partial,Orthohantavirus puumalaense
420,OQ283016.1,S,partial,Orthohantavirus puumalaense
428,MZ580941.1,S,partial,Orthohantavirus puumalaense
429,MZ580942.1,S,partial,Orthohantavirus puumalaense
430,MZ580943.1,M,partial,Orthohantavirus puumalaense
431,MZ580944.1,L,partial,Orthohantavirus puumalaense
432,MZ580945.1,S,partial,Orthohantavirus puumalaense
433,MZ580946.1,M,partial,Orthohantavirus puumalaense
434,MZ580947.1,L,partial,Orthohantavirus puumalaense
435,MZ580948.1,S,partial,Orthohantavirus puumalaense
436,MZ580949.1,M,partial,Orthohantavirus puumalaense
437,MZ580950.1,L,partial,Orthohantavirus puumalaense
438,MZ580951.1,S,partial,Orthohantavirus puumalaense
439,MZ580952.1,M,partial,Orthohantavirus puumalaense
440,MZ580953.1,L,partial,Orthohantavirus puumalaense
441,OM372469.1,S,partial,Orthohantavirus puumalaense
442,OM372470.1,M,complete,Orthohantavirus puumalaense
443,MW661038.1,L,partial,Orthohantavirus puumalaense
444,OL343541.1,L,partial,Orthohantavirus puumalaense
445,OL343542.1,L,partial,Orthohantavirus puumalaense
446,OL343543.1,L,partial,Orthohantavirus puumalaense
447,OL343544.1,L,partial,Orthohantavirus puumalaense
448,OL343545.1,L,partial,Orthohantavirus puumalaense
449,OL343546.1,L,partial,Orthohantavirus puumalaense
450,OL343548.1,L,partial,Orthohantavirus puumalaense
451,OL343550.1,L,partial,Orthohantavirus puumalaense
452,OL343551.1,L,partial,Orthohantavirus puumalaense
453,OL343552.1,L,partial,Orthohantavirus puumalaense
454,OL343553.1,L,partial,Orthohantavirus puumalaense
455,OL343554.1,L,partial,Orthohantavirus puumalaense
456,OL343555.1,L,partial,Orthohantavirus puumalaense
457,OL343556.1,L,partial,Orthohantavirus puumalaense
458,OL343557.1,L,partial,Orthohantavirus puumalaense
459,OL343558.1,L,partial,Orthohantavirus puumalaense
460,OL343559.1,L,partial,Orthohantavirus puumalaense
461,OL343560.1,L,partial,Orthohantavirus puumalaense
462,OL343561.1,L,partial,Orthohantavirus puumalaense
463,OL343562.1,L,partial,Orthohantavirus puumalaense
464,OL343563.1,M,partial,Orthohantavirus puumalaense
465,OL343564.1,M,partial,Orthohantavirus puumalaense
466,OL343565.1,M,partial,Orthohantavirus puumalaense
467,OL343566.1,M,partial,Orthohantavirus puumalaense
468,OL343567.1,M,partial,Orthohantavirus puumalaense
469,OL343568.1,M,partial,Orthohantavirus puumalaense
470,OL343569.1,M,partial,Orthohantavirus puumalaense
471,OL343570.1,M,partial,Orthohantavirus puumalaense
472,OL343571.1,M,partial,Orthohantavirus puumalaense
473,OL343572.1,M,partial,Orthohantavirus puumalaense
474,OL343573.1,M,partial,Orthohantavirus puumalaense
475,OL343574.1,M,partial,Orthohantavirus puumalaense
476,OL343575.1,M,partial,Orthohantavirus puumalaense
477,OL343576.1,M,partial,Orthohantavirus puumalaense
478,OL343577.1,M,partial,Orthohantavirus puumalaense
479,OL343578.1,M,partial,Orthohantavirus puumalaense
480,OL343579.1,M,partial,Orthohantavirus puumalaense
481,OL343580.1,M,partial,Orthohantavirus puumalaense
482,OL343581.1,M,partial,Orthohantavirus puumalaense
483,OL343582.1,M,partial,Orthohantavirus puumalaense
484,OL343583.1,M,partial,Orthohantavirus puumalaense
485,OL343584.1,M,partial,Orthohantavirus puumalaense
486,OL343585.1,S,partial,Orthohantavirus puumalaense
487,OL343586.1,S,partial,Orthohantavirus puumalaense
488,OL343587.1,S,partial,Orthohantavirus puumalaense
489,OL343588.1,S,partial,Orthohantavirus puumalaense
490,OL343589.1,S,partial,Orthohantavirus puumalaense
491,OL343590.1,S,partial,Orthohantavirus puumalaense
492,OL343591.1,S,partial,Orthohantavirus puumalaense
493,OL343592.1,S,partial,Orthohantavirus puumalaense
494,OL343593.1,S,partial,Orthohantavirus puumalaense
495,OL343594.1,S,partial,Orthohantavirus puumalaense
