,Accession,Segment,Nuc_Completeness,Species
263,OL961341.1,M,partial,Orthohantavirus hantanense
264,OL961342.1,M,partial,Orthohantavirus hantanense
265,OL961343.1,M,partial,Orthohantavirus hantanense
266,OL961344.1,M,partial,Orthohantavirus hantanense
267,OL961345.1,M,partial,Orthohantavirus hantanense
268,OL961346.1,M,partial,Orthohantavirus hantanense
269,OL961347.1,M,partial,Orthohantavirus hantanense
270,OL961348.1,M,partial,Orthohantavirus hantanense
271,OL961349.1,M,partial,Orthohantavirus hantanense
272,OL961350.1,M,partial,Orthohantavirus hantanense
273,OL961351.1,M,partial,Orthohantavirus hantanense
274,OL961352.1,M,partial,Orthohantavirus hantanense
275,OL961353.1,M,partial,Orthohantavirus hantanense
276,OL961354.1,M,partial,Orthohantavirus hantanense
277,OL961355.1,M,partial,Orthohantavirus hantanense
278,OL961356.1,M,partial,Orthohantavirus hantanense
279,OL961357.1,L,partial,Orthohantavirus hantanense
280,OL961358.1,L,partial,Orthohantavirus hantanense
281,OL961359.1,L,partial,Orthohantavirus hantanense
282,OL961360.1,L,partial,Orthohantavirus hantanense
283,OL961361.1,L,partial,Orthohantavirus hantanense
284,OL961362.1,L,partial,Orthohantavirus hantanense
285,OL961363.1,L,partial,Orthohantavirus hantanense
286,OL961364.1,L,partial,Orthohantavirus hantanense
287,OL961365.1,L,partial,Orthohantavirus hantanense
288,OL961366.1,L,partial,Orthohantavirus hantanense
289,OL961367.1,L,partial,Orthohantavirus hantanense
290,OL961368.1,L,partial,Orthohantavirus hantanense
291,OL961369.1,L,partial,Orthohantavirus hantanense
292,OL961370.1,L,partial,Orthohantavirus hantanense
293,OL961371.1,L,partial,Orthohantavirus hantanense
294,OL961372.1,L,partial,Orthohantavirus hantanense
295,OL961373.1,L,partial,Orthohantavirus hantanense
296,OL961374.1,L,partial,Orthohantavirus hantanense
297,OL961375.1,L,partial,Orthohantavirus hantanense
298,OL961376.1,M,partial,Orthohantavirus hantanense
299,OL961377.1,M,partial,Orthohantavirus hantanense
300,OL961378.1,M,partial,Orthohantavirus hantanense
301,OL961379.1,M,partial,Orthohantavirus hantanense
302,OL961380.1,M,partial,Orthohantavirus hantanense
303,OL961381.1,M,partial,Orthohantavirus hantanense
304,OL961382.1,M,partial,Orthohantavirus hantanense
305,OL961383.1,M,partial,Orthohantavirus hantanense
306,OL961384.1,M,partial,Orthohantavirus hantanense
307,OL961385.1,M,partial,Orthohantavirus hantanense
308,OL961386.1,M,partial,Orthohantavirus hantanense
309,OL961387.1,M,partial,Orthohantavirus hantanense
310,OL961388.1,M,partial,Orthohantavirus hantanense
311,OL961389.1,M,partial,Orthohantavirus hantanense
312,PP540018.1,S,partial,Orthohantavirus hantanense
313,PP540019.1,M,partial,Orthohantavirus hantanense
314,PP540020.1,L,partial,Orthohantavirus hantanense
315,OR113707.1,L,complete,Orthohantavirus hantanense
316,OR113708.1,L,complete,Orthohantavirus hantanense
317,OR113709.1,L,complete,Orthohantavirus hantanense
318,OR113710.1,L,complete,Orthohantavirus hantanense
319,OR113711.1,L,complete,Orthohantavirus hantanense
320,OR113712.1,L,complete,Orthohantavirus hantanense
321,OR113713.1,L,complete,Orthohantavirus hantanense
322,OR113714.1,L,complete,Orthohantavirus hantanense
323,OR113715.1,L,complete,Orthohantavirus hantanense
324,OR113716.1,M,complete,Orthohantavirus hantanense
325,OR113717.1,M,complete,Orthohantavirus hantanense
326,OR113718.1,M,complete,Orthohantavirus hantanense
327,OR113719.1,M,complete,Orthohantavirus hantanense
328,OR113720.1,M,complete,Orthohantavirus hantanense
329,OR113721.1,M,complete,Orthohantavirus hantanense
330,OR113722.1,M,complete,Orthohantavirus hantanense
331,OR113723.1,M,complete,Orthohantavirus hantanense
332,OR113724.1,M,complete,Orthohantavirus hantanense
333,OR113725.1,S,complete,Orthohantavirus hantanense
334,OR113726.1,S,complete,Orthohantavirus hantanense
335,OR113727.1,S,complete,Orthohantavirus hantanense
336,OR113728.1,S,complete,Orthohantavirus hantanense
337,OR113729.1,S,complete,Orthohantavirus hantanense
338,OR113730.1,S,complete,Orthohantavirus hantanense
339,OR113731.1,S,complete,Orthohantavirus hantanense
340,OR113732.1,S,complete,Orthohantavirus hantanense
341,OR113733.1,S,complete,Orthohantavirus hantanense
342,OR113734.1,M,complete,Orthohantavirus hantanense
343,OR113735.1,S,complete,Orthohantavirus hantanense
344,OR113736.1,L,complete,Orthohantavirus hantanense
345,OR113737.1,M,partial,Orthohantavirus hantanense
346,OR113738.1,S,complete,Orthohantavirus hantanense
347,OR113739.1,L,complete,Orthohantavirus hantanense
348,OR113740.1,M,partial,Orthohantavirus hantanense
349,OR113741.1,S,complete,Orthohantavirus hantanense
350,OR113742.1,L,complete,Orthohantavirus hantanense
351,OR113743.1,M,complete,Orthohantavirus hantanense
352,OR113744.1,S,partial,Orthohantavirus hantanense
353,PP438579.1,M,partial,Orthohantavirus hantanense
354,OR700523.1,L,partial,Orthohantavirus hantanense
355,OR700524.1,L,partial,Orthohantavirus hantanense
356,OR700525.1,L,partial,Orthohantavirus hantanense
357,OR700526.1,L,partial,Orthohantavirus hantanense
358,OR700527.1,L,partial,Orthohantavirus hantanense
359,OR700528.1,L,partial,Orthohantavirus hantanense
360,OR700529.1,L,partial,Orthohantavirus hantanense
361,OR700530.1,M,partial,Orthohantavirus hantanense
362,OR700531.1,M,partial,Orthohantavirus hantanense
363,OR700532.1,M,partial,Orthohantavirus hantanense
364,OR700533.1,M,partial,Orthohantavirus hantanense
365,OR700534.1,M,partial,Orthohantavirus hantanense
366,OR700535.1,M,partial,Orthohantavirus hantanense
367,OR700536.1,M,partial,Orthohantavirus hantanense
368,OR700537.1,S,partial,Orthohantavirus hantanense
369,OR700538.1,S,partial,Orthohantavirus hantanense
370,OR700539.1,S,partial,Orthohantavirus hantanense
371,OR700540.1,S,partial,Orthohantavirus hantanense
372,OR700541.1,S,partial,Orthohantavirus hantanense
373,OR700542.1,S,partial,Orthohantavirus hantanense
374,OR700543.1,S,partial,Orthohantavirus hantanense
375,OP946503.1,M,partial,Orthohantavirus hantanense
376,OP946504.1,M,partial,Orthohantavirus hantanense
377,OP946505.1,M,partial,Orthohantavirus hantanense
378,OP946506.1,M,partial,Orthohantavirus hantanense
379,OP946507.1,M,partial,Orthohantavirus hantanense
380,OP946508.1,S,partial,Orthohantavirus hantanense
381,OP958230.1,S,partial,Orthohantavirus hantanense
382,OP958231.1,S,partial,Orthohantavirus hantanense
383,OP958232.1,S,partial,Orthohantavirus hantanense
384,OP958233.1,S,partial,Orthohantavirus hantanense
385,OR711249.1,S,complete,Orthohantavirus hantanense
386,OR711250.1,M,complete,Orthohantavirus hantanense
387,OR239876.1,S,partial,Orthohantavirus hantanense
388,OR239877.1,S,partial,Orthohantavirus hantanense
389,OR239878.1,S,partial,Orthohantavirus hantanense
390,OR239879.1,S,partial,Orthohantavirus hantanense
391,OR239880.1,S,partial,Orthohantavirus hantanense
392,OR239881.1,S,partial,Orthohantavirus hantanense
393,OR239882.1,S,partial,Orthohantavirus hantanense
394,OR239883.1,S,partial,Orthohantavirus hantanense
395,OR239884.1,S,partial,Orthohantavirus hantanense
396,OR239885.1,S,partial,Orthohantavirus hantanense
397,OR239886.1,S,partial,Orthohantavirus hantanense
398,OR239887.1,S,partial,Orthohantavirus hantanense
399,OR239891.1,M,partial,Orthohantavirus hantanense
400,OR239892.1,M,partial,Orthohantavirus hantanense
401,OR239893.1,M,partial,Orthohantavirus hantanense
402,OR239894.1,M,partial,Orthohantavirus hantanense
403,OR239895.1,M,partial,Orthohantavirus hantanense
404,OR239896.1,M,partial,Orthohantavirus hantanense
405,OR239897.1,M,partial,Orthohantavirus hantanense
406,OR239898.1,M,partial,Orthohantavirus hantanense
407,OR239899.1,M,partial,Orthohantavirus hantanense
408,OR239900.1,M,partial,Orthohantavirus hantanense
409,OR239901.1,M,partial,Orthohantavirus hantanense
410,OR239905.1,L,partial,Orthohantavirus hantanense
411,OR239906.1,L,partial,Orthohantavirus hantanense
412,OR239907.1,L,partial,Orthohantavirus hantanense
413,OR239908.1,L,partial,Orthohantavirus hantanense
414,OR239909.1,L,partial,Orthohantavirus hantanense
415,OR239910.1,L,partial,Orthohantavirus hantanense
416,OR239911.1,L,partial,Orthohantavirus hantanense
417,OR239912.1,L,partial,Orthohantavirus hantanense
418,OR239913.1,L,partial,Orthohantavirus hantanense
419,OR239914.1,L,partial,Orthohantavirus hantanense
420,OR239915.1,L,partial,Orthohantavirus hantanense
421,OR239916.1,L,partial,Orthohantavirus hantanense
422,OR239921.1,L,partial,Orthohantavirus hantanense
423,OR239922.1,L,partial,Orthohantavirus hantanense
424,OR239923.1,L,partial,Orthohantavirus hantanense
425,OR239924.1,L,partial,Orthohantavirus hantanense
426,OR239925.1,L,partial,Orthohantavirus hantanense
427,OR239926.1,L,partial,Orthohantavirus hantanense
428,OR239927.1,L,partial,Orthohantavirus hantanense
429,OR239928.1,L,partial,Orthohantavirus hantanense
430,OR239929.1,L,partial,Orthohantavirus hantanense
431,OR239930.1,L,partial,Orthohantavirus hantanense
432,OR239931.1,L,partial,Orthohantavirus hantanense
433,OR239932.1,L,partial,Orthohantavirus hantanense
434,OR239933.1,L,partial,Orthohantavirus hantanense
435,OR239934.1,L,partial,Orthohantavirus hantanense
436,OR239935.1,L,partial,Orthohantavirus hantanense
437,OR239936.1,L,partial,Orthohantavirus hantanense
438,OR239937.1,L,partial,Orthohantavirus hantanense
439,OR239938.1,L,partial,Orthohantavirus hantanense
440,OR239939.1,L,partial,Orthohantavirus hantanense
441,OR239940.1,L,partial,Orthohantavirus hantanense
442,OR239941.1,L,partial,Orthohantavirus hantanense
443,OR239942.1,L,partial,Orthohantavirus hantanense
444,OR239943.1,L,partial,Orthohantavirus hantanense
445,OR239944.1,L,partial,Orthohantavirus hantanense
446,OR239945.1,L,partial,Orthohantavirus hantanense
447,OR239946.1,L,partial,Orthohantavirus hantanense
448,OR239947.1,L,partial,Orthohantavirus hantanense
449,OR239948.1,L,partial,Orthohantavirus hantanense
450,OR239949.1,L,partial,Orthohantavirus hantanense
451,OR239950.1,L,partial,Orthohantavirus hantanense
452,OR239951.1,L,partial,Orthohantavirus hantanense
453,OR239952.1,L,partial,Orthohantavirus hantanense
454,OR239953.1,L,partial,Orthohantavirus hantanense
455,OR239954.1,L,partial,Orthohantavirus hantanense
456,OR239955.1,L,partial,Orthohantavirus hantanense
457,OR239956.1,L,partial,Orthohantavirus hantanense
458,OR239957.1,L,partial,Orthohantavirus hantanense
459,OR239958.1,L,partial,Orthohantavirus hantanense
460,OR239959.1,L,partial,Orthohantavirus hantanense
461,OR239960.1,L,partial,Orthohantavirus hantanense
462,OR239961.1,L,partial,Orthohantavirus hantanense
463,OR239962.1,L,partial,Orthohantavirus hantanense
464,OR239963.1,L,partial,Orthohantavirus hantanense
465,OR239964.1,L,partial,Orthohantavirus hantanense
466,OR239965.1,L,partial,Orthohantavirus hantanense
467,OR239966.1,L,partial,Orthohantavirus hantanense
468,OR239967.1,L,partial,Orthohantavirus hantanense
469,OR239968.1,L,partial,Orthohantavirus hantanense
470,OR239969.1,L,partial,Orthohantavirus hantanense
471,OR239970.1,L,partial,Orthohantavirus hantanense
472,OR239971.1,L,partial,Orthohantavirus hantanense
473,OR239972.1,L,partial,Orthohantavirus hantanense
474,OR239973.1,L,partial,Orthohantavirus hantanense
475,OR239974.1,L,partial,Orthohantavirus hantanense
476,OR239975.1,L,partial,Orthohantavirus hantanense
477,OR239976.1,L,partial,Orthohantavirus hantanense
478,OR239977.1,L,partial,Orthohantavirus hantanense
479,OR239978.1,L,partial,Orthohantavirus hantanense
480,OR239979.1,L,partial,Orthohantavirus hantanense
481,OR239980.1,L,partial,Orthohantavirus hantanense
482,OR239981.1,L,partial,Orthohantavirus hantanense
483,OR239982.1,L,partial,Orthohantavirus hantanense
484,OR239983.1,L,partial,Orthohantavirus hantanense
485,OR239984.1,L,partial,Orthohantavirus hantanense
486,OR239985.1,L,partial,Orthohantavirus hantanense
487,OR239986.1,L,partial,Orthohantavirus hantanense
488,OR239987.1,L,partial,Orthohantavirus hantanense
489,OR239988.1,L,partial,Orthohantavirus hantanense
490,OR239989.1,L,partial,Orthohantavirus hantanense
491,OR239990.1,L,partial,Orthohantavirus hantanense
492,OR239991.1,L,partial,Orthohantavirus hantanense
493,OR239992.1,L,partial,Orthohantavirus hantanense
494,OR239993.1,L,partial,Orthohantavirus hantanense
495,OR239994.1,L,partial,Orthohantavirus hantanense
496,OR239995.1,L,partial,Orthohantavirus hantanense
497,OR239996.1,L,partial,Orthohantavirus hantanense
498,OR239997.1,L,partial,Orthohantavirus hantanense
499,OR239998.1,L,partial,Orthohantavirus hantanense
500,OR239999.1,L,partial,Orthohantavirus hantanense
501,OR240000.1,L,partial,Orthohantavirus hantanense
502,OR240001.1,L,partial,Orthohantavirus hantanense
503,OR240002.1,L,partial,Orthohantavirus hantanense
504,OR240003.1,L,partial,Orthohantavirus hantanense
505,OR240004.1,L,partial,Orthohantavirus hantanense
506,OR240005.1,L,partial,Orthohantavirus hantanense
507,OR240006.1,L,partial,Orthohantavirus hantanense
508,OR240007.1,L,partial,Orthohantavirus hantanense
509,OR240008.1,L,partial,Orthohantavirus hantanense
510,OR240009.1,L,partial,Orthohantavirus hantanense
511,OR240010.1,L,partial,Orthohantavirus hantanense
512,OR240011.1,L,partial,Orthohantavirus hantanense
513,OR240012.1,L,partial,Orthohantavirus hantanense
514,OR240013.1,L,partial,Orthohantavirus hantanense
515,OR240014.1,L,partial,Orthohantavirus hantanense
516,OR240015.1,L,partial,Orthohantavirus hantanense
517,OR240016.1,L,partial,Orthohantavirus hantanense
518,OR240017.1,L,partial,Orthohantavirus hantanense
519,OR240018.1,L,partial,Orthohantavirus hantanense
520,OR240019.1,L,partial,Orthohantavirus hantanense
521,OR240020.1,L,partial,Orthohantavirus hantanense
522,OR240021.1,L,partial,Orthohantavirus hantanense
523,OR240022.1,L,partial,Orthohantavirus hantanense
524,OR240023.1,L,partial,Orthohantavirus hantanense
525,OR240024.1,L,partial,Orthohantavirus hantanense
526,OR240025.1,L,partial,Orthohantavirus hantanense
527,OR240026.1,L,partial,Orthohantavirus hantanense
528,OR240027.1,L,partial,Orthohantavirus hantanense
529,OR240028.1,L,partial,Orthohantavirus hantanense
530,OR240029.1,L,partial,Orthohantavirus hantanense
531,OR240030.1,L,partial,Orthohantavirus hantanense
532,OR240031.1,L,partial,Orthohantavirus hantanense
533,OR240032.1,L,partial,Orthohantavirus hantanense
534,OR240033.1,L,partial,Orthohantavirus hantanense
535,OR240034.1,L,partial,Orthohantavirus hantanense
536,OR240035.1,L,partial,Orthohantavirus hantanense
537,OR240036.1,L,partial,Orthohantavirus hantanense
538,OQ731580.1,S,partial,Orthohantavirus hantanense
539,OQ731581.1,S,partial,Orthohantavirus hantanense
540,OQ731582.1,S,partial,Orthohantavirus hantanense
541,OQ731583.1,S,partial,Orthohantavirus hantanense
542,OQ731584.1,S,partial,Orthohantavirus hantanense
543,OQ731585.1,S,partial,Orthohantavirus hantanense
