,Accession,Segment,Nuc_Completeness,Species
2074,EF990914.1,S,complete,Orthohantavirus hantanense
2075,EF990915.1,S,complete,Orthohantavirus hantanense
2076,EF990918.1,M,complete,Orthohantavirus hantanense
2077,EF990919.1,M,complete,Orthohantavirus hantanense
2078,EF990920.1,M,complete,Orthohantavirus hantanense
2079,EF990921.1,M,complete,Orthohantavirus hantanense
2080,EF990922.1,M,complete,Orthohantavirus hantanense
2081,EF990923.1,M,complete,Orthohantavirus hantanense
2082,EF990924.1,M,complete,Orthohantavirus hantanense
2083,EF990925.1,M,complete,Orthohantavirus hantanense
2084,EF990926.1,M,complete,Orthohantavirus hantanense
2085,EF990927.1,M,complete,Orthohantavirus hantanense
2086,EF990928.1,M,complete,Orthohantavirus hantanense
2087,EF990929.1,M,complete,Orthohantavirus hantanense
2122,EF208929.1,S,complete,Orthohantavirus hantanense
2123,EF208930.1,M,complete,Orthohantavirus hantanense
2148,EF371454.1,M,complete,Orthohantavirus hantanense
2151,EF121324.1,S,complete,Orthohantavirus hantanense
2155,DQ989237.1,L,complete,Orthohantavirus hantanense
2157,DQ371905.1,M,complete,Orthohantavirus hantanense
2158,DQ371906.1,L,complete,Orthohantavirus hantanense
2223,AY017064.1,S,complete,Orthohantavirus hantanense
