Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
PX394252.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,YD192,,"Orthohantavirus hantanense strain YD192 RNA-dependent RNA polymerase gene, partial cds",346,partial,South Korea,South Korea,,,,"Kim,S.Y.","Korea Disease Control and Prevention Agency, Division of Vector and Parasitic Disease",,,2025-04-30,2026-03-25,ssRNA(-)
PX394253.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,YD194,,"Orthohantavirus hantanense strain YD194 RNA-dependent RNA polymerase gene, partial cds",346,partial,South Korea,South Korea,,,,"Kim,S.Y.","Korea Disease Control and Prevention Agency, Division of Vector and Parasitic Disease",,,2025-04-30,2026-03-25,ssRNA(-)
PX394254.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,YD198,,"Orthohantavirus hantanense strain YD198 RNA-dependent RNA polymerase gene, partial cds",346,partial,South Korea,South Korea,,,,"Kim,S.Y.","Korea Disease Control and Prevention Agency, Division of Vector and Parasitic Disease",,,2025-04-30,2026-03-25,ssRNA(-)
PX753258.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,HXH lung,S,"Orthohantavirus hantanense strain HXH lung segment S glycoprotein gene, complete cds",3482,partial,China,China,,Apodemus agrarius,,"Han,H.X., Wang,J.Y.","Shenyang Agricultural University, College of Animal Science and Veterinary Medicine",China,,2003-05-31,2026-01-13,ssRNA(-)
PX753259.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,HXH lung,M,"Orthohantavirus hantanense strain HXH lung segment M nucleocapsid gene, complete cds",1660,partial,China,China,,Apodemus agrarius,,"Han,H.X., Wang,J.Y.","Shenyang Agricultural University, College of Animal Science and Veterinary Medicine",China,,2003-05-31,2026-01-13,ssRNA(-)
PX753260.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,HXH lung,L,"Orthohantavirus hantanense strain HXH lung segment L RNA-dependent RNA polymerase gene, complete cds",6498,partial,China,China,,Apodemus agrarius,,"Han,H.X., Wang,J.Y.","Shenyang Agricultural University, College of Animal Science and Veterinary Medicine",China,,2003-05-31,2026-01-13,ssRNA(-)
OM337652.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-13,L,"Orthohantavirus hantanense isolate Hunan2019C022-13 segment L, complete sequence",6550,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337653.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-13,M,"Orthohantavirus hantanense isolate Hunan2019C022-13 segment M, complete sequence",3618,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337654.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-13,S,"Orthohantavirus hantanense isolate Hunan2019C022-13 segment S, complete sequence",1645,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337655.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-17,L,"Orthohantavirus hantanense isolate Hunan2019C022-17 segment L, complete sequence",6550,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337656.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-17,M,"Orthohantavirus hantanense isolate Hunan2019C022-17 segment M, complete sequence",3618,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337657.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-17,S,"Orthohantavirus hantanense isolate Hunan2019C022-17 segment S, complete sequence",1662,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337658.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-19,L,"Orthohantavirus hantanense isolate Hunan2019C022-19 segment L, complete sequence",6550,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337659.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-19,M,"Orthohantavirus hantanense isolate Hunan2019C022-19 segment M, complete sequence",3618,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337660.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-19,S,"Orthohantavirus hantanense isolate Hunan2019C022-19 segment S, complete sequence",1662,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337661.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-21,L,"Orthohantavirus hantanense isolate Hunan2019C022-21 segment L, complete sequence",6550,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337662.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-21,M,"Orthohantavirus hantanense isolate Hunan2019C022-21 segment M, complete sequence",3618,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337663.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-21,S,"Orthohantavirus hantanense isolate Hunan2019C022-21 segment S, complete sequence",1662,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337664.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-23,L,"Orthohantavirus hantanense isolate Hunan2019C022-23 segment L, complete sequence",6550,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337665.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-23,M,"Orthohantavirus hantanense isolate Hunan2019C022-23 segment M, complete sequence",3618,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337666.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-23,S,"Orthohantavirus hantanense isolate Hunan2019C022-23 segment S, complete sequence",1662,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337667.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-32,L,"Orthohantavirus hantanense isolate Hunan2019C022-32 segment L, complete sequence",6533,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337668.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-32,M,"Orthohantavirus hantanense isolate Hunan2019C022-32 segment M, complete sequence",3618,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337669.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2019C022-32,S,"Orthohantavirus hantanense isolate Hunan2019C022-32 segment S, complete sequence",1662,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2019-09-05,2026-01-01,ssRNA(-)
OM337670.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Hunan2020C008-10,M,"Orthohantavirus hantanense isolate Hunan2020C008-10 segment M, complete sequence",3640,partial,China,China,,Apodemus agrarius,,"Cai,L.","Hunan Provincial Center for Disease Control and Prevention, Microbiological laboratory",China,,2020-10-12,2026-01-01,ssRNA(-)
PP951047.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap15-21,,"Orthohantavirus hantanense isolate Ap15-21 nucleocapsid protein gene, complete cds",1696,partial,South Korea: Hongcheon,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2015-09-23,2026-01-01,ssRNA(-)
PP951048.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap15-22,,"Orthohantavirus hantanense isolate Ap15-22 nucleocapsid protein gene, complete cds",1696,partial,South Korea: Pyeongchang,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2015-09-11,2026-01-01,ssRNA(-)
PP951049.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap15-23,,"Orthohantavirus hantanense isolate Ap15-23 nucleocapsid protein gene, complete cds",1696,partial,South Korea: Hongcheon,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2015-09-23,2026-01-01,ssRNA(-)
PP951050.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap18-3,,"Orthohantavirus hantanense isolate Ap18-3 nucleocapsid protein gene, complete cds",1696,partial,South Korea: Hongcheon,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2018-10-31,2026-01-01,ssRNA(-)
PP951051.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Aa18-104,,"Orthohantavirus hantanense isolate Aa18-104 nucleocapsid protein gene, complete cds",1696,partial,South Korea: Pyeongchang,South Korea,,Apodemus agrarius,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2018-10-31,2026-01-01,ssRNA(-)
PP951052.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap15-21,,"Orthohantavirus hantanense isolate Ap15-21 glycoprotein gene, complete cds",3615,partial,South Korea: Hongcheon,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2015-09-23,2026-01-01,ssRNA(-)
PP951053.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap15-22,,"Orthohantavirus hantanense isolate Ap15-22 glycoprotein gene, complete cds",3615,partial,South Korea: Pyeongchang,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2015-09-11,2026-01-01,ssRNA(-)
PP951054.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap15-23,,"Orthohantavirus hantanense isolate Ap15-23 glycoprotein gene, complete cds",3615,partial,South Korea: Hongcheon,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2015-09-23,2026-01-01,ssRNA(-)
PP951055.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap18-3,,"Orthohantavirus hantanense isolate Ap18-3 glycoprotein gene, complete cds",3615,partial,South Korea: Hongcheon,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2018-10-31,2026-01-01,ssRNA(-)
PP951056.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Aa18-104,,"Orthohantavirus hantanense isolate Aa18-104 glycoprotein gene, complete cds",3615,partial,South Korea: Pyeongchang,South Korea,,Apodemus agrarius,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2018-10-31,2026-01-01,ssRNA(-)
PP951057.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap15-21,,"Orthohantavirus hantanense isolate Ap15-21 RNA-dependent RNA polymerase gene, complete cds",6530,partial,South Korea: Hongcheon,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2015-09-23,2026-01-01,ssRNA(-)
PP951058.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap15-22,,"Orthohantavirus hantanense isolate Ap15-22 RNA-dependent RNA polymerase gene, complete cds",6530,partial,South Korea: Pyeongchang,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2015-09-11,2026-01-01,ssRNA(-)
PP951059.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap15-23,,"Orthohantavirus hantanense isolate Ap15-23 RNA-dependent RNA polymerase gene, complete cds",6530,partial,South Korea: Hongcheon,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2015-09-23,2026-01-01,ssRNA(-)
PP951060.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Ap18-3,,"Orthohantavirus hantanense isolate Ap18-3 RNA-dependent RNA polymerase gene, complete cds",6530,partial,South Korea: Hongcheon,South Korea,,Apodemus peninsulae,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2018-10-31,2026-01-01,ssRNA(-)
PP951061.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Aa18-104,,"Orthohantavirus hantanense isolate Aa18-104 RNA-dependent RNA polymerase gene, complete cds",6530,partial,South Korea: Pyeongchang,South Korea,,Apodemus agrarius,lung,"Park,K., Song,J.-W.","Korea University College of Medicine, Department of Microbiology",,,2018-10-31,2026-01-01,ssRNA(-)
PI449108.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2024521444-A/1876: CIRCULAR RNA COMPOSITIONS AND METHODS,435,partial,,,,,,"Barnes,T., Goodman,B., Horhota,A.T., Becker,A.M., Ott,K., Motz,G., Shivashankar,V., Wesselhoeft,R.A., Shu,H.",,,,,2025-12-24,ssRNA(-)
PV600322.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Aa22s-H3981,L,"Orthohantavirus hantanense strain Yanbian-Aa22s-H3981 segment L RNA-dependent RNA polymerase gene, complete cds",6488,partial,"China: Yanbian, Jilin",China,,Apodemus agrarius,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-03-01,2025-10-31,ssRNA(-)
PV600323.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Aa22a-H3999,L,"Orthohantavirus hantanense strain Yanbian-Aa22a-H3999 segment L RNA-dependent RNA polymerase gene, complete cds",6492,partial,"China: Yanbian, Jilin",China,,Apodemus agrarius,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-09-01,2025-10-31,ssRNA(-)
PV600324.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Aa22a-H4010,L,"Orthohantavirus hantanense strain Yanbian-Aa22a-H4010 segment L RNA-dependent RNA polymerase gene, complete cds",6479,partial,"China: Yanbian, Jilin",China,,Apodemus agrarius,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-09-01,2025-10-31,ssRNA(-)
PV600325.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Aa22s-H3931,L,"Orthohantavirus hantanense strain Yanbian-Aa22s-H3931 segment L RNA-dependent RNA polymerase gene, complete cds",6485,partial,"China: Yanbian, Jilin",China,,Apodemus agrarius,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-03-01,2025-10-31,ssRNA(-)
PV600326.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Rn22a-H4086,L,"Orthohantavirus hantanense strain Yanbian-Rn22a-H4086 segment L RNA-dependent RNA polymerase gene, complete cds",6476,partial,"China: Yanbian, Jilin",China,,Rattus norvegicus,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-09-01,2025-10-31,ssRNA(-)
PV600327.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Rn22a-H4103,L,"Orthohantavirus hantanense strain Yanbian-Rn22a-H4103 segment L RNA-dependent RNA polymerase gene, complete cds",6485,partial,"China: Yanbian, Jilin",China,,Rattus norvegicus,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-09-01,2025-10-31,ssRNA(-)
PV600328.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Rn22a-H3954,L,"Orthohantavirus hantanense strain Yanbian-Rn22a-H3954 segment L RNA-dependent RNA polymerase gene, complete cds",6479,partial,"China: Yanbian, Jilin",China,,Rattus norvegicus,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-09-01,2025-10-31,ssRNA(-)
PV600329.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Aa22s-H3977,L,"Orthohantavirus hantanense strain Yanbian-Aa22s-H3977 segment L RNA-dependent RNA polymerase gene, complete cds",6481,partial,"China: Yanbian, Jilin",China,,Apodemus agrarius,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-03-01,2025-10-31,ssRNA(-)
PV600330.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Aa22s-H3928,L,"Orthohantavirus hantanense strain Yanbian-Aa22s-H3928 segment L RNA-dependent RNA polymerase gene, complete cds",6473,partial,"China: Yanbian, Jilin",China,,Apodemus agrarius,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-03-01,2025-10-31,ssRNA(-)
PV600331.1,GenBank,,,,,Amur virus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,Yanbian-Aa22a-H4029,L,"Amur virus strain Yanbian-Aa22a-H4029 segment L RNA-dependent RNA polymerase gene, complete cds",6476,partial,"China: Yanbian, Jilin",China,,Apodemus peninsulae,lung,"Wang,Z., Peng,Y., Gu,Y., Zhang,G.","The First Hospital of Jilin University, Infectious Diseases and Reverse Genetics Laboratory",China,,2022-09-01,2025-10-31,ssRNA(-)
