Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
PV276137.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr13-1,,"Orthohantavirus puumalaense isolate Cr13-1 RNA-dependent RNA polymerase gene, complete cds",6544,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2013-10-11,2025-11-12,ssRNA(-)
PV276138.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr15-1,,"Orthohantavirus puumalaense isolate Cr15-1 RNA-dependent RNA polymerase gene, complete cds",6544,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2015-04-07,2025-11-12,ssRNA(-)
PV276139.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr15-13,,"Orthohantavirus puumalaense isolate Cr15-13 RNA-dependent RNA polymerase gene, complete cds",6544,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2015-09-10,2025-11-12,ssRNA(-)
PV276140.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr15-15,,"Orthohantavirus puumalaense isolate Cr15-15 RNA-dependent RNA polymerase gene, complete cds",6544,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2015-09-11,2025-11-12,ssRNA(-)
PV276141.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr16-3,,"Orthohantavirus puumalaense isolate Cr16-3 RNA-dependent RNA polymerase gene, complete cds",6544,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2016-06-09,2025-11-12,ssRNA(-)
PV276142.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr00-18,,"Orthohantavirus puumalaense isolate Cr00-18 glycoprotein gene, complete cds",3652,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2019-05-15,2025-11-12,ssRNA(-)
PV276143.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr13-1,,"Orthohantavirus puumalaense isolate Cr13-1 glycoprotein gene, complete cds",3652,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2013-10-11,2025-11-12,ssRNA(-)
PV276144.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr15-1,,"Orthohantavirus puumalaense isolate Cr15-1 glycoprotein gene, complete cds",3652,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2015-04-07,2025-11-12,ssRNA(-)
PV276145.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr15-13,,"Orthohantavirus puumalaense isolate Cr15-13 glycoprotein gene, complete cds",3652,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2015-09-10,2025-11-12,ssRNA(-)
PV276146.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr15-15,,"Orthohantavirus puumalaense isolate Cr15-15 glycoprotein gene, complete cds",3652,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2015-09-11,2025-11-12,ssRNA(-)
PV276147.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr16-3,,"Orthohantavirus puumalaense isolate Cr16-3 glycoprotein gene, complete cds",3652,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2016-06-09,2025-11-12,ssRNA(-)
PV276148.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr00-18,,"Orthohantavirus puumalaense isolate Cr00-18 nucleocapsid protein gene, complete cds",1831,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2019-05-15,2025-11-12,ssRNA(-)
PV276149.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr13-1,,"Orthohantavirus puumalaense isolate Cr13-1 nucleocapsid protein gene, complete cds",1831,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2013-10-11,2025-11-12,ssRNA(-)
PV276150.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr15-1,,"Orthohantavirus puumalaense isolate Cr15-1 nucleocapsid protein gene, complete cds",1831,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2015-04-07,2025-11-12,ssRNA(-)
PV276151.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr15-13,,"Orthohantavirus puumalaense isolate Cr15-13 nucleocapsid protein gene, complete cds",1831,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2015-09-10,2025-11-12,ssRNA(-)
PV276152.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr15-15,,"Orthohantavirus puumalaense isolate Cr15-15 nucleocapsid protein gene, complete cds",1831,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2015-09-11,2025-11-12,ssRNA(-)
PV276153.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr16-3,,"Orthohantavirus puumalaense isolate Cr16-3 nucleocapsid protein gene, complete cds",1831,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2016-06-09,2025-11-12,ssRNA(-)
PV254382.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,St59-2021,,"Orthohantavirus puumalaense isolate St59-2021 nucleocapsid protein gene, partial cds",527,partial,Russia: Astrakhan,Russia,,,,"Ternovoi,V.A., Ponomareva,E.P., Tupota,N.L., Stepaniuk,M.A., Oskina,A.S.","State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology",Russia,,2021,2025-04-29,ssRNA(-)
PV254383.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,St65-2021,,"Orthohantavirus puumalaense isolate St65-2021 nucleocapsid protein gene, partial cds",527,partial,Russia: Astrakhan,Russia,,,,"Ternovoi,V.A., Ponomareva,E.P., Tupota,N.L., Stepaniuk,M.A., Oskina,A.S.","State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology",Russia,,2021,2025-04-29,ssRNA(-)
PV254384.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,St67-2021,,"Orthohantavirus puumalaense isolate St67-2021 nucleocapsid protein gene, partial cds",527,partial,Russia: Astrakhan,Russia,,,,"Ternovoi,V.A., Ponomareva,E.P., Tupota,N.L., Stepaniuk,M.A., Oskina,A.S.","State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology",Russia,,2021,2025-04-29,ssRNA(-)
PV254385.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,St73-2021,,"Orthohantavirus puumalaense isolate St73-2021 nucleocapsid protein gene, partial cds",527,partial,Russia: Astrakhan,Russia,,,,"Ternovoi,V.A., Ponomareva,E.P., Tupota,N.L., Stepaniuk,M.A., Oskina,A.S.","State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology",Russia,,2021,2025-04-29,ssRNA(-)
PQ871465.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Sorex/Nsk/2020,,"Orthohantavirus puumalaense isolate Sorex/Nsk/2020 nucleocapsid protein gene, partial cds",255,partial,Russia: Novosibirsk region,Russia,,Sorex araneus,,"Tupota,N.L., Ponomareva,E.P., Ternovoi,V.A.","State Research Center of Virology and Biothechnology Vector, Departament of Molecular Virology for Flaviviruses and Viral Hepatitis",Russia,,2020,2025-03-03,ssRNA(-)
PQ683547.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Staraya_Pristan/MG_188/2015,M,"Orthohantavirus puumalaense PUUV/Staraya_Pristan/MG_188/2015 glycoprotein precursor, gene, partial cds",1014,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ683548.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Pestretsy/MG_273/2015,M,"Orthohantavirus puumalaense PUUV/Pestretsy/MG_273/2015 glycoprotein precursor, gene, partial cds",1014,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ683549.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Yash-Ketch/MG_060/2015,L,"Orthohantavirus puumalaense PUUV/Yash-Ketch/MG_060/2015 RNA-dependent RNA polymerase gene, partial cds",605,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ683550.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Vysokaya_Gora/MG_066/2015,L,"Orthohantavirus puumalaense PUUV/Vysokaya_Gora/MG_066/2015 RNA-dependent RNA polymerase gene, partial cds",605,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ683551.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Krutushka/MG_068/2015,L,"Orthohantavirus puumalaense PUUV/Krutushka/MG_068/2015 RNA-dependent RNA polymerase gene, partial cds",605,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ683552.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Novopolsky/MG_113/2015,L,"Orthohantavirus puumalaense PUUV/Novopolsky/MG_113/2015 RNA-dependent RNA polymerase gene, partial cds",605,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ723775.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Observatory/MG_118/2015,L,"Orthohantavirus puumalaense PUUV/Observatory/MG_118/2015 RNA-dependent RNA polymerase gene, partial cds",605,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ723776.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Vasilevo/MG_130/2015,L,"Orthohantavirus puumalaense PUUV/Vasilevo/MG_130/2015 RNA-dependent RNA polymerase gene, partial cds",605,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ723777.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Teteevo/MG_167/2015,L,"Orthohantavirus puumalaense PUUV/Teteevo/MG_167/2015 RNA-dependent RNA polymerase gene, partial cds",605,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ723778.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Staraya_Pristan/MG_188/2015,L,"Orthohantavirus puumalaense PUUV/Staraya_Pristan/MG_188/2015 RNA-dependent RNA polymerase gene, partial cds",605,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ723779.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Pestretsy/MG_273/2015,L,"Orthohantavirus puumalaense PUUV/Pestretsy/MG_273/2015 RNA-dependent RNA polymerase gene, partial cds",605,partial,Russia: The Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-05,ssRNA(-)
PQ673794.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,PUUV/Vasilevo/MG_130/2015,M,"Orthohantavirus puumalaense isolate PUUV/Vasilevo/MG_130/2015 segment M glycoprotein precursor, gene, partial cds",1014,partial,Russia: the Republic of Tatarstan,Russia,,Myodes glareolus,,"Ismagilova,R.K., Davidyuk,Y.N., Kabwe,E., Knyazeva,A.V., Elboeva,P.I., Martynova,E.V., Ohlopkova,O.V., Stolbunova,K.A., Markelova,M.I., Ponomareva,E.R., Savitskaya,T.A., Isaeva,G.S., Rizvanov,A.A., Khaiboullina,S.F., Morzunov,S.P.","Kazan Federal University, Institute of Fundamental Medicine and Biology",Russia,,2015,2025-02-04,ssRNA(-)
