Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
PQ256562.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,S1477,L,"Orthohantavirus dobravaense isolate S1477 RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Saratov region,Russia,,Apodemus agrarius,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256563.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,S1480,L,"Orthohantavirus dobravaense isolate S1480 RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Saratov region,Russia,,Apodemus agrarius,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256630.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,9_Sochi,L,"Orthohantavirus dobravaense isolate 9_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256632.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,43_Sochi,L,"Orthohantavirus dobravaense isolate 43_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256633.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,94_Sochi,L,"Orthohantavirus dobravaense isolate 94_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256634.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,161_Sochi,L,"Orthohantavirus dobravaense isolate 161_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256635.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,163_Sochi,L,"Orthohantavirus dobravaense isolate 163_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256637.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,273_Sochi,L,"Orthohantavirus dobravaense isolate 273_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ciscaucasicus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256638.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,336_Sochi,L,"Orthohantavirus dobravaense isolate 336_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256639.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,352_Sochi,L,"Orthohantavirus dobravaense isolate 352_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256640.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,375_Sochi,L,"Orthohantavirus dobravaense isolate 375_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256643.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,578_Sochi,L,"Orthohantavirus dobravaense isolate 578_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256646.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,625_Sochi,L,"Orthohantavirus dobravaense isolate 625_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256647.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,646_Sochi,L,"Orthohantavirus dobravaense isolate 646_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
PQ256648.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,649_Sochi,L,"Orthohantavirus dobravaense isolate 649_Sochi RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia: Krasnodar region,Russia,,Apodemus ponticus,,"Blinova,E.","CRIE, Department of Molecular Diagnostics and Epidemiology",,,,2024-09-21,ssRNA(-)
MW055917.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/13Af/2009,L,"Dobrava-Belgrade orthohantavirus isolate Turkey/Igneada/13Af/2009 segment L, partial sequence",6328,partial,Turkey,Turkey,,Apodemus flavicollis,lung,"Erdin,M., Polat,C., Irmak,S., Smura,T., Matur,F., Cogal,M., Cetintas,O., Sozen,M., Sironen,T., Oktem,M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,,2009,2023-07-15,ssRNA(-)
MW055918.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/13Af/2009,M,"Dobrava-Belgrade orthohantavirus isolate Turkey/Igneada/13Af/2009 segment M, complete sequence",3620,complete,Turkey,Turkey,,Apodemus flavicollis,lung,"Erdin,M., Polat,C., Irmak,S., Smura,T., Matur,F., Cogal,M., Cetintas,O., Sozen,M., Sironen,T., Oktem,M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,,2009,2023-07-15,ssRNA(-)
MW055919.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/13Af/2009,S,"Dobrava-Belgrade orthohantavirus isolate Turkey/Igneada/13Af/2009 segment S, complete sequence",1633,partial,Turkey,Turkey,,Apodemus flavicollis,lung,"Erdin,M., Polat,C., Irmak,S., Smura,T., Matur,F., Cogal,M., Cetintas,O., Sozen,M., Sironen,T., Oktem,M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,,2009,2023-07-15,ssRNA(-)
OQ129481.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,YunL-07B,,"Dobrava-Belgrade orthohantavirus isolate YunL-07B RNA-dependent RNA polymerase gene, partial cds",369,partial,China: Henan,China,,Rattus tanezumi,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
OQ129482.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,YunL-05B,,"UNVERIFIED: Dobrava-Belgrade orthohantavirus isolate YunL-05B RNA-dependent RNA polymerase-like gene, partial sequence",420,partial,China: Henan,China,,Apodemus agrarius,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
OQ129483.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,JP-16B,,"Dobrava-Belgrade orthohantavirus isolate JP-16B RNA-dependent RNA polymerase gene, partial cds",373,partial,China: Henan,China,,Mus musculus,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
OQ129484.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,JP-13B,,"Dobrava-Belgrade orthohantavirus isolate JP-13B RNA-dependent RNA polymerase gene, partial cds",373,partial,China: Henan,China,,Rattus norvegicus,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
ON243777.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,40AA,M,"Dobrava-Belgrade orthohantavirus isolate 40AA glycoprotein precursor, gene, partial cds",183,partial,Czech Republic: Oldrisov u Opavy,Czech Republic,,Apodemus agrarius,lung,"Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
ON243806.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,7AA,L,"Dobrava-Belgrade orthohantavirus isolate 7AA RNA-dependent RNA polymerase gene, partial cds",290,partial,Czech Republic: Oldrisov u Opavy,Czech Republic,,Apodemus agrarius,"liver, abdominal cavity","Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
ON243807.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,10AA,L,"Dobrava-Belgrade orthohantavirus isolate 10AA RNA-dependent RNA polymerase gene, partial cds",290,partial,Czech Republic: Oldrisov u Opavy,Czech Republic,,Apodemus agrarius,"liver, abdominal cavity","Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
ON243808.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,40AA,L,"Dobrava-Belgrade orthohantavirus isolate 40AA RNA-dependent RNA polymerase gene, partial cds",290,partial,Czech Republic: Oldrisov u Opavy,Czech Republic,,Apodemus agrarius,"liver, abdominal cavity, lung, brain","Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
ON243809.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,43AA,L,"Dobrava-Belgrade orthohantavirus isolate 43AA RNA-dependent RNA polymerase gene, partial cds",290,partial,Czech Republic: Oldrisov u Opavy,Czech Republic,,Apodemus agrarius,"spleen, abdominal cavity","Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
ON243810.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,49AA,L,"Dobrava-Belgrade orthohantavirus isolate 49AA RNA-dependent RNA polymerase gene, partial cds",290,partial,"Czech Republic: Oldrisov, sugar beet field between Oldrisov and Opava",Czech Republic,,Apodemus agrarius,"liver, abdominal cavity, lung, spleen, brain","Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
ON243811.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,55AA,L,"Dobrava-Belgrade orthohantavirus isolate 55AA RNA-dependent RNA polymerase gene, partial cds",290,partial,Czech Republic: Opava,Czech Republic,,Apodemus agrarius,"spleen, abdominal cavity","Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
ON243812.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,23720MA,L,"Dobrava-Belgrade orthohantavirus isolate 23720MA RNA-dependent RNA polymerase gene, partial cds",290,partial,"Czech Republic: Ceske Budejovice, Borek",Czech Republic,,Microtus arvalis,"spleen, abdominal cavity, brain","Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
ON243813.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,23721AS,L,"Dobrava-Belgrade orthohantavirus isolate 23721AS RNA-dependent RNA polymerase gene, partial cds",290,partial,"Czech Republic: Ceske Budejovice, Borek",Czech Republic,,Apodemus sylvaticus,lung,"Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
ON243814.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,23723MA,L,"Dobrava-Belgrade orthohantavirus isolate 23723MA RNA-dependent RNA polymerase gene, partial cds",290,partial,"Czech Republic: Ceske Budejovice, Borek",Czech Republic,,Microtus arvalis,"spleen, abdominal cavity","Honig,V., Kamis,J., Marsikova,A., Matejkova,T., Stopka,P., Macova,A., Ruzek,D., Kvicerova,J.","University of South Bohemia, Faculty of Science, Department of Parasitology",Czech Republic,,2016,2022-09-21,ssRNA(-)
OK422867.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,LT16/Br_42,M,"Dobrava-Belgrade orthohantavirus isolate LT16/Br_42 segment M, complete sequence",3408,complete,Lithuania: Birzai,Lithuania,,Apodemus agrarius,lung,"Jeske,K., Schulz,J., Tekemen,D., Balciauskas,L., Balciauskiene,L., Hiltbrunner,M., Drewes,S., Mayer-Scholl,A., Heckel,G., Ulrich,R.G.","Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut",Germany,1,2016,2022-08-22,ssRNA(-)
OK422868.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,LT18/TYT_44,M,"Dobrava-Belgrade orthohantavirus isolate LT18/TYT_44 segment M, complete sequence",3408,complete,Lithuania: Tytuvenai,Lithuania,,Apodemus agrarius,lung,"Jeske,K., Schulz,J., Tekemen,D., Balciauskas,L., Balciauskiene,L., Hiltbrunner,M., Drewes,S., Mayer-Scholl,A., Heckel,G., Ulrich,R.G.","Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut",Germany,1,2018,2022-08-22,ssRNA(-)
OK422869.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,LT16/Br_42,L,"Dobrava-Belgrade orthohantavirus isolate LT16/Br_42 segment L, complete sequence",6456,complete,Lithuania: Birzai,Lithuania,,Apodemus agrarius,lung,"Jeske,K., Schulz,J., Tekemen,D., Balciauskas,L., Balciauskiene,L., Hiltbrunner,M., Drewes,S., Mayer-Scholl,A., Heckel,G., Ulrich,R.G.","Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut",Germany,1,2016,2022-08-22,ssRNA(-)
OK422870.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,LT18/TYT_44,L,"Dobrava-Belgrade orthohantavirus isolate LT18/TYT_44 segment L, complete sequence",6456,complete,Lithuania: Tytuvenai,Lithuania,,Apodemus agrarius,lung,"Jeske,K., Schulz,J., Tekemen,D., Balciauskas,L., Balciauskiene,L., Hiltbrunner,M., Drewes,S., Mayer-Scholl,A., Heckel,G., Ulrich,R.G.","Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut",Germany,1,2018,2022-08-22,ssRNA(-)
OK422871.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,LT18/LK_11,L,"Dobrava-Belgrade orthohantavirus isolate LT18/LK_11 segment L, complete sequence",6456,complete,Lithuania: Lukstas,Lithuania,,Apodemus agrarius,lung,"Jeske,K., Schulz,J., Tekemen,D., Balciauskas,L., Balciauskiene,L., Hiltbrunner,M., Drewes,S., Mayer-Scholl,A., Heckel,G., Ulrich,R.G.","Institute for Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut",Germany,1,2018,2022-08-22,ssRNA(-)
OM677634.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,21RS2853-23,L,"Dobrava-Belgrade orthohantavirus isolate 21RS2853-23 segment L, complete sequence",6456,complete,Italy,Italy,,Apodemus flavicollis,,"Leopardi,S., Drzewniokova,P., Baggieri,M., Marchi,A., Bucci,P., Bregoli,M., De Benedictis,P., Gobbo,F., Bellinati,L., Citterio,C., Monne,I., Pastori,A., Zamperin,G., Palumbo,E., Festa,F., Castellan,M., Zorzan,M., D'Ugo,E., Zucca,P., Terregino,C., Magurano,F., Schivo,A., Salviato,A., Fusaro,A., Milani,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Genomics and viral transcriptomics laboratory",Italy,1,2021-07-20,2022-07-19,ssRNA(-)
OM677635.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,21RS2853-23,M,"Dobrava-Belgrade orthohantavirus isolate 21RS2853-23 segment M, complete sequence",3622,complete,Italy,Italy,,Apodemus flavicollis,,"Leopardi,S., Drzewniokova,P., Baggieri,M., Marchi,A., Bucci,P., Bregoli,M., De Benedictis,P., Gobbo,F., Bellinati,L., Citterio,C., Monne,I., Pastori,A., Zamperin,G., Palumbo,E., Festa,F., Castellan,M., Zorzan,M., D'Ugo,E., Zucca,P., Terregino,C., Magurano,F., Schivo,A., Salviato,A., Fusaro,A., Milani,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Genomics and viral transcriptomics laboratory",Italy,1,2021-07-20,2022-07-19,ssRNA(-)
OM677636.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,21RS2853-23,N,"Dobrava-Belgrade orthohantavirus isolate 21RS2853-23 segment N, complete sequence",1456,complete,Italy,Italy,,Apodemus flavicollis,,"Leopardi,S., Drzewniokova,P., Baggieri,M., Marchi,A., Bucci,P., Bregoli,M., De Benedictis,P., Gobbo,F., Bellinati,L., Citterio,C., Monne,I., Pastori,A., Zamperin,G., Palumbo,E., Festa,F., Castellan,M., Zorzan,M., D'Ugo,E., Zucca,P., Terregino,C., Magurano,F., Schivo,A., Salviato,A., Fusaro,A., Milani,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Genomics and viral transcriptomics laboratory",Italy,1,2021-07-20,2022-07-19,ssRNA(-)
OM677637.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,21RS2853-24,L,"Dobrava-Belgrade orthohantavirus isolate 21RS2853-24 segment L, complete sequence",6456,complete,Italy,Italy,,Apodemus flavicollis,,"Leopardi,S., Drzewniokova,P., Baggieri,M., Marchi,A., Bucci,P., Bregoli,M., De Benedictis,P., Gobbo,F., Bellinati,L., Citterio,C., Monne,I., Pastori,A., Zamperin,G., Palumbo,E., Festa,F., Castellan,M., Zorzan,M., D'Ugo,E., Zucca,P., Terregino,C., Magurano,F., Schivo,A., Salviato,A., Fusaro,A., Milani,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Genomics and viral transcriptomics laboratory",Italy,1,2021-07-20,2022-07-19,ssRNA(-)
